cr_year,issn_l,collection,articles,oa_articles
2023,1262-3377,de,9,9
2023,1262-3377,global,90,89
2023,1286-0042,de,0,0
2023,1286-0042,global,67,8
2023,1292-8941,de,20,16
2023,1292-8941,global,270,62
2023,1434-6028,de,16,14
2023,1434-6028,global,334,20
2023,1434-6060,de,30,26
2023,1434-6060,global,420,82
2023,1625-6484,de,0,0
2023,1625-6484,global,29,0
2023,1629-4475,de,0,0
2023,1629-4475,global,52,35
2023,1951-6355,de,40,40
2023,1951-6355,global,620,120
2023,2102-6467,de,4,4
2023,2102-6467,global,30,12
2023,2118-5735,de,0,0
2023,2118-5735,global,29,0
2023,2271-3654,de,0,0
2023,2271-3654,global,96,4
2023,2804-7303,de,1,1
2023,2804-7303,global,165,165
2023,2823-1465,de,0,0
2023,2823-1465,global,12,3
2024,0003-4088,de,0,0
2024,0003-4088,global,0,0
2024,0004-6361,de,306,304
2024,0004-6361,global,3799,3475
2024,0032-6895,de,0,0
2024,0032-6895,global,36,3
2024,0033-8451,de,1,0
2024,0033-8451,global,78,17
2024,0295-5075,de,33,24
2024,0295-5075,global,912,141
2024,0399-0559,de,0,0
2024,0399-0559,global,0,0
2024,0764-583X,de,0,0
2024,0764-583X,global,0,0
2024,0767-0974,de,0,0
2024,0767-0974,global,223,141
2024,0973-5348,de,0,0
2024,0973-5348,global,27,23
2024,0988-3754,de,0,0
2024,0988-3754,global,0,0
2024,1007-1202,de,0,0
2024,1007-1202,global,56,56
2024,1262-3318,de,0,0
2024,1262-3318,global,19,17
2024,1262-3377,de,2,2
2024,1262-3377,global,110,91
2024,1286-0042,de,0,0
2024,1286-0042,global,32,5
2024,1292-8941,de,8,8
2024,1292-8941,global,140,52
2024,1434-6028,de,14,12
2024,1434-6028,global,418,66
2024,1434-6060,de,10,8
2024,1434-6060,global,308,68
2024,1625-6484,de,0,0
2024,1625-6484,global,17,0
2024,1629-4475,de,0,0
2024,1629-4475,global,51,26
2024,1951-6355,de,28,26
2024,1951-6355,global,716,124
2024,2102-6467,de,8,2
2024,2102-6467,global,50,24
2024,2118-5735,de,0,0
2024,2118-5735,global,31,0
2024,2271-3654,de,0,0
2024,2271-3654,global,113,1
2024,2804-7303,de,0,0
2024,2804-7303,global,285,247
2024,2823-1465,de,0,0
2024,2823-1465,global,25,16
