cr_year,esac_publisher,collection,articles,oa_articles,oa_prop,all_journals,oa_journals,journal_prop
2019,Elsevier,Global,532801,19875,0.03730285791505646,1949,1604,0.822986146741919
2019,Emerald,Global,19316,0,0,317,0,0
2019,European Respiratory Society,Global,607,40,0.06589785831960461,1,1,1
2019,Future Science Group,Global,2198,272,0.12374886260236578,19,18,0.9473684210526315
2019,Hogrefe,Global,1010,45,0.04455445544554455,28,16,0.5714285714285714
2019,IEEE,Global,49632,521,0.010497259832366216,192,104,0.5416666666666666
2019,IOP Publishing,Global,26867,2076,0.07726951278520118,74,56,0.7567567567567568
2019,IOS Press,Global,5229,321,0.06138841078600115,66,36,0.5454545454545454
2019,IWA Publishing,Global,79,3,0.0379746835443038,1,1,1
2019,Inter-Research Science Publisher,Global,594,1,0.0016835016835016834,4,1,0.25
2019,John Benjamins Publishing,Global,1538,51,0.03315994798439532,80,11,0.1375
2019,Karger,Global,5066,235,0.04638768258981445,67,54,0.8059701492537313
2019,"Mary Ann Liebert, Inc.",Global,6896,0,0,65,0,0
2019,Microbiology Society,Global,1223,86,0.07031888798037612,4,4,1
2019,National Academy of Sciences,Global,4034,1299,0.3220128904313337,1,1,1
2019,Optica,Global,3918,0,0,5,0,0
2019,Oxford University Press,Global,55589,4665,0.0839194804727554,401,311,0.7755610972568578
2019,Portland Press,Global,719,158,0.21974965229485396,5,5,1
2019,Radiological Society of North America,Global,655,0,0,3,0,0
2019,Rockefeller University Press,Global,576,87,0.15104166666666666,2,2,1
2019,Royal College of General Practitioners,Global,548,0,0,1,0,0
2019,Royal Irish Academy,Global,179,0,0,6,0,0
2019,Royal Society of Chemistry,Global,34642,2579,0.0744472028173893,42,41,0.9761904761904762
2019,SPIE,Global,1467,4,0.0027266530334014998,8,2,0.25
2019,Sage,Global,60054,936,0.015585972624637826,979,332,0.3391215526046987
2019,Society for Neuroscience,Global,829,0,0,1,0,0
2019,Springer Nature,Global,290465,21923,0.07547553061470401,2421,1834,0.7575382073523338
2019,Taylor and Francis,Global,136336,6518,0.0478083558267809,2314,1449,0.6261884183232498
2019,The Electrochemical Society,Global,8185,815,0.09957238851557727,4,2,0.5
2019,The Geological Society of London,Global,485,62,0.12783505154639174,8,8,1
2019,The Royal Society,Global,2264,0,0,8,0,0
2019,Thieme,Global,12108,166,0.013709943838784275,82,27,0.32926829268292684
2019,Trans Tech Publications,Global,4875,84,0.01723076923076923,12,9,0.75
2019,Walter de Gruyter,Global,19847,671,0.03380863606590417,362,147,0.40607734806629836
2019,White Horse Press,Global,125,0,0,3,0,0
2019,Wiley,Global,204940,17655,0.08614716502390944,1402,1208,0.8616262482168331
2019,Wolters Kluwer Health,Global,69869,1435,0.020538436216347735,280,176,0.6285714285714286
2019,World Scientific,Global,10186,0,0,106,0,0
2020,AIP Publishing,Global,15300,0,0,26,0,0
2020,Akadémiai Kiadó,Global,969,479,0.49432404540763675,24,23,0.9583333333333334
2020,American Chemical Society,Global,62015,670,0.010803837781181972,66,62,0.9393939393939394
2020,American Meteorological Society,Global,2204,12,0.0054446460980036296,10,5,0.5
2020,American Physical Society,Global,19557,3427,0.17523137495525898,10,9,0.9
2020,American Physiological Society,Global,2457,0,0,12,0,0
2020,American Psychological Association,Global,7058,67,0.009492774156984981,101,25,0.24752475247524752
2020,Association for Computing Machinery,Global,4987,91,0.018247443352717066,92,7,0.07608695652173914
2020,BMJ Publishing,Global,11182,1628,0.14559112859953496,41,40,0.975609756097561
2020,Bentham Science Publishers,Global,8429,1460,0.17321153161703642,104,101,0.9711538461538461
2020,Bioscientifica,Global,691,23,0.03328509406657019,5,3,0.6
2020,Brill,Global,7851,707,0.09005222264679659,311,185,0.594855305466238
2020,Bristol University Press,Global,454,36,0.07929515418502203,14,11,0.7857142857142857
2020,CSIRO,Global,1663,0,0,17,0,0
2020,Cambridge University Press,Global,29682,3542,0.1193315814298228,363,295,0.8126721763085399
2020,Canadian Science Publishing,Global,2008,0,0,20,0,0
2020,Cold Spring Harbor Laboratory Press,Global,324,0,0,2,0,0
2020,Company of Biologists,Global,1720,126,0.07325581395348837,3,3,1
2020,EDP Sciences,Global,4673,1050,0.2246950567087524,23,19,0.8260869565217391
2020,Edward Elgar Publishing,Global,223,25,0.11210762331838565,11,8,0.7272727272727273
2020,Elsevier,Global,565249,28833,0.05100937816785169,1954,1710,0.8751279426816786
2020,Emerald,Global,17676,13,7.354605114279249e-4,316,1,0.0031645569620253164
2020,European Respiratory Society,Global,776,262,0.33762886597938147,1,1,1
2020,Future Science Group,Global,2255,277,0.12283813747228381,19,17,0.8947368421052632
2020,Hogrefe,Global,1029,59,0.057337220602526724,28,17,0.6071428571428571
2020,IEEE,Global,53436,1416,0.026498989445317762,196,139,0.7091836734693877
2020,IOP Publishing,Global,29515,2874,0.09737421650008471,74,56,0.7567567567567568
2020,IOS Press,Global,5560,496,0.08920863309352518,67,34,0.5074626865671642
2020,IWA Publishing,Global,69,17,0.2463768115942029,1,1,1
2020,Inter-Research Science Publisher,Global,561,49,0.0873440285204991,4,4,1
2020,John Benjamins Publishing,Global,1664,76,0.04567307692307692,82,26,0.3170731707317073
2020,Karger,Global,5003,451,0.09014591245252848,67,62,0.9253731343283582
2020,"Mary Ann Liebert, Inc.",Global,7051,0,0,65,0,0
2020,Microbiology Society,Global,1258,166,0.13195548489666137,4,4,1
2020,National Academy of Sciences,Global,4349,1564,0.3596229018165095,1,1,1
2020,Optica,Global,4221,7,0.001658374792703151,5,4,0.8
2020,Oxford University Press,Global,61111,6686,0.10940747164994845,401,329,0.8204488778054863
2020,Portland Press,Global,862,516,0.5986078886310905,5,5,1
2020,Radiological Society of North America,Global,772,0,0,3,0,0
2020,Rockefeller University Press,Global,579,89,0.153713298791019,2,2,1
2020,Royal College of General Practitioners,Global,556,93,0.1672661870503597,1,1,1
2020,Royal Irish Academy,Global,151,0,0,6,0,0
2020,Royal Society of Chemistry,Global,35602,3316,0.09314083478456267,42,42,1
2020,SPIE,Global,1278,9,0.007042253521126761,8,3,0.375
2020,Sage,Global,67735,6536,0.0964936886395512,983,764,0.7772126144455748
2020,Society for Neuroscience,Global,851,0,0,1,0,0
2020,Springer Nature,Global,307957,34396,0.11169091788788695,2439,1964,0.8052480524805248
2020,Taylor and Francis,Global,138218,8422,0.06093272945636603,2303,1611,0.6995223621363439
2020,The Electrochemical Society,Global,8695,873,0.10040253018976424,4,3,0.75
2020,The Geological Society of London,Global,691,74,0.10709117221418235,9,8,0.8888888888888888
2020,The Royal Society,Global,2386,448,0.18776194467728416,8,7,0.875
2020,Thieme,Global,12709,184,0.01447792902667401,82,29,0.35365853658536583
