cr_year,issn_l,collection,articles,oa_articles
2017,0081-1750,de,0,0
2017,0081-1750,global,15,0
2017,0081-2463,de,0,0
2017,0081-2463,global,61,0
2017,0084-6724,de,0,0
2017,0084-6724,global,14,0
2017,0090-5917,de,0,0
2017,0090-5917,global,56,0
2017,0091-0260,de,0,0
2017,0091-0260,global,26,0
2017,0091-2174,de,2,0
2017,0091-2174,global,55,0
2017,0091-4150,de,1,0
2017,0091-4150,global,56,0
2017,0091-4509,de,0,0
2017,0091-4509,global,22,0
2017,0091-5521,de,0,0
2017,0091-5521,global,17,0
2017,0091-6471,de,0,0
2017,0091-6471,global,26,0
2017,0091-732X,de,0,0
2017,0091-732X,global,24,0
2017,0091-8296,de,0,0
2017,0091-8296,global,69,0
2017,0092-055X,de,0,0
2017,0092-055X,global,62,0
2017,0093-6502,de,2,0
2017,0093-6502,global,32,1
2017,0093-8548,de,1,0
2017,0093-8548,global,68,0
2017,0094-3061,de,1,0
2017,0094-3061,global,417,0
2017,0094-582X,de,0,0
2017,0094-582X,global,80,0
2017,0095-2443,de,0,0
2017,0095-2443,global,43,0
2017,0095-327X,de,0,0
2017,0095-327X,global,55,0
2017,0095-3997,de,1,0
2017,0095-3997,global,27,0
2017,0095-7984,de,0,0
2017,0095-7984,global,13,0
2017,0096-1442,de,5,0
2017,0096-1442,global,101,0
2017,0097-7004,de,1,0
2017,0097-7004,global,19,0
2017,0098-6283,de,1,0
2017,0098-6283,global,52,0
2017,0141-0768,de,0,0
2017,0141-0768,global,144,0
2017,0141-7789,de,1,0
2017,0141-7789,global,70,0
2017,0142-064X,de,0,0
2017,0142-064X,global,53,0
2017,0142-3312,de,0,0
2017,0142-3312,global,245,0
2017,0142-7237,de,4,0
2017,0142-7237,global,45,0
2017,0143-0343,de,0,0
2017,0143-0343,global,37,0
2017,0143-6244,de,0,0
2017,0143-6244,global,51,0
2017,0143-831X,de,4,0
2017,0143-831X,global,40,2
2017,0144-7394,de,0,0
2017,0144-7394,global,23,0
2017,0145-4455,de,0,0
2017,0145-4455,global,67,0
2017,0145-482X,de,0,0
2017,0145-482X,global,78,0
2017,0145-7217,de,1,0
2017,0145-7217,global,61,0
2017,0146-1079,de,2,0
2017,0146-1079,global,54,0
2017,0146-1672,de,3,0
2017,0146-1672,global,143,1
2017,0146-6216,de,3,1
2017,0146-6216,global,55,1
2017,0146-6453,de,0,0
2017,0146-6453,global,3,0
2017,0148-558X,de,0,0
2017,0148-558X,global,48,0
2017,0149-2063,de,3,0
2017,0149-2063,global,74,1
2017,0160-0176,de,0,0
2017,0160-0176,global,11,0
2017,0160-323X,de,0,0
2017,0160-323X,global,26,0
2017,0160-449X,de,0,0
2017,0160-449X,global,46,0
2017,0160-5976,de,0,0
2017,0160-5976,global,29,0
2017,0161-7346,de,1,0
2017,0161-7346,global,23,0
2017,0162-2439,de,0,0
2017,0162-2439,global,53,0
2017,0162-3532,de,2,0
2017,0162-3532,global,25,0
2017,0162-3737,de,0,0
2017,0162-3737,global,30,0
2017,0162-6434,de,0,0
2017,0162-6434,global,24,0
2017,0163-2787,de,1,0
2017,0163-2787,global,28,0
2017,0163-4437,de,2,0
2017,0163-4437,global,111,0
2017,0164-0275,de,0,0
2017,0164-0275,global,38,0
2017,0165-0254,de,6,0
2017,0165-0254,global,53,0
2017,0165-5515,de,0,0
2017,0165-5515,global,37,0
2017,0169-796X,de,1,0
2017,0169-796X,global,24,0
2017,0170-8406,de,3,0
2017,0170-8406,global,117,0
2017,0184-7678,de,0,0
2017,0184-7678,global,57,0
2017,0190-2725,de,0,0
2017,0190-2725,global,17,0
2017,0191-4537,de,7,0
2017,0191-4537,global,104,0
2017,0192-5121,de,1,0
2017,0192-5121,global,48,0
2017,0192-513X,de,1,0
2017,0192-513X,global,60,0
2017,0192-6233,de,1,0
2017,0192-6233,global,85,0
2017,0192-6365,de,0,0
2017,0192-6365,global,20,0
2017,0193-7235,de,0,0
2017,0193-7235,global,26,0
2017,0193-841X,de,0,0
2017,0193-841X,global,7,0
2017,0193-9459,de,0,0
2017,0193-9459,global,122,0
2017,0194-5998,de,3,0
2017,0194-5998,global,399,1
2017,0196-8599,de,0,0
2017,0196-8599,global,30,0
2017,0197-6931,de,0,0
2017,0197-6931,global,9,0
2017,0197-9183,de,1,0
2017,0197-9183,global,64,0
2017,0198-7429,de,0,0
2017,0198-7429,global,27,0
2017,0218-4923,de,0,0
2017,0218-4923,global,114,0
2017,0255-7614,de,0,0
2017,0255-7614,global,37,0
2017,0256-0909,de,0,0
2017,0256-0909,global,26,0
2017,0257-6430,de,0,0
2017,0257-6430,global,24,0
2017,0258-042X,de,0,0
2017,0258-042X,global,23,0
2017,0260-1060,de,0,0
2017,0260-1060,global,38,0
2017,0260-1079,de,1,0
2017,0260-1079,global,16,0
2017,0261-0183,de,0,0
2017,0261-0183,global,67,0
2017,0261-1929,de,5,0
2017,0261-1929,global,60,0
2017,0261-4294,de,0,0
2017,0261-4294,global,14,0
2017,0261-927X,de,3,0
2017,0261-927X,global,54,0
2017,0262-4893,de,1,0
2017,0262-4893,global,15,0
2017,0262-7280,de,2,0
2017,0262-7280,global,47,0
2017,0263-0672,de,0,0
2017,0263-0672,global,25,0
2017,0263-2764,de,2,0
2017,0263-2764,global,69,0
2017,0263-3957,de,1,0
2017,0263-3957,global,38,1
2017,0263-7758,de,2,0
2017,0263-7758,global,67,0
2017,0264-5505,de,0,0
2017,0264-5505,global,62,0
2017,0264-6196,de,1,0
2017,0264-6196,global,27,0
2017,0265-3788,de,0,0
2017,0265-3788,global,12,0
2017,0265-4075,de,0,0
2017,0265-4075,global,86,0
2017,0265-5322,de,0,0
2017,0265-5322,global,31,0
2017,0265-6590,de,0,0
2017,0265-6590,global,13,0
2017,0265-6914,de,2,0
2017,0265-6914,global,168,0
2017,0266-2426,de,0,0
2017,0266-2426,global,43,0
2017,0266-3821,de,0,0
2017,0266-3821,global,27,0
2017,0266-6669,de,1,0
2017,0266-6669,global,62,0
2017,0267-3231,de,0,0
2017,0267-3231,global,115,0
2017,0267-6583,de,4,0
2017,0267-6583,global,29,0
2017,0267-6591,de,12,0
2017,0267-6591,global,120,0
2017,0268-3555,de,5,0
2017,0268-3555,global,98,0
2017,0268-3962,de,5,0
2017,0268-3962,global,23,0
2017,0268-5809,de,2,0
2017,0268-5809,global,94,0
2017,0269-0942,de,0,0
2017,0269-0942,global,57,0
2017,0269-2155,de,6,0
2017,0269-2155,global,140,0
2017,0269-2163,de,2,0
2017,0269-2163,global,115,4
2017,0269-7580,de,0,0
2017,0269-7580,global,26,0
2017,0269-8811,de,1,0
2017,0269-8811,global,144,0
2017,0270-4676,de,0,0
2017,0270-4676,global,19,0
2017,0271-1214,de,0,0
2017,0271-1214,global,13,0
2017,0271-678X,de,24,0
2017,0271-678X,global,272,1
2017,0272-4316,de,1,0
2017,0272-4316,global,47,0
2017,0272-684X,de,1,0
2017,0272-684X,global,26,0
2017,0272-989X,de,2,0
2017,0272-989X,global,75,2
2017,0273-4753,de,0,0
2017,0273-4753,global,21,0
2017,0275-0740,de,0,0
2017,0275-0740,global,46,0
2017,0276-1467,de,3,0
2017,0276-1467,global,39,0
2017,0276-2366,de,1,0
2017,0276-2366,global,33,0
2017,0276-2374,de,1,0
2017,0276-2374,global,15,0
2017,0278-3649,de,9,0
2017,0278-3649,global,96,0
2017,0284-1851,de,25,0
2017,0284-1851,global,225,0
2017,0300-8916,de,0,0
2017,0300-8916,global,50,0
2017,0300-9858,de,6,0
2017,0300-9858,global,105,0
2017,0301-0066,de,6,0
2017,0301-0066,global,92,0
2017,0304-3754,de,1,0
2017,0304-3754,global,16,0
2017,0305-7356,de,4,0
2017,0305-7356,global,82,0
2017,0305-8298,de,0,0
2017,0305-8298,global,29,1
2017,0306-1973,de,0,0
2017,0306-1973,global,30,0
2017,0306-3070,de,0,0
2017,0306-3070,global,18,0
2017,0306-3127,de,1,0
2017,0306-3127,global,31,0
2017,0306-3968,de,0,0
2017,0306-3968,global,51,0
2017,0306-4190,de,0,0
2017,0306-4190,global,36,0
2017,0306-4220,de,0,0
2017,0306-4220,global,130,0
2017,0306-624X,de,2,0
2017,0306-624X,global,126,0
2017,0307-5133,de,1,0
2017,0307-5133,global,23,0
2017,0308-0226,de,0,0
2017,0308-0226,global,100,0
2017,0308-275X,de,1,0
2017,0308-275X,global,26,0
2017,0308-518X,de,3,0
2017,0308-518X,global,151,0
2017,0308-5759,de,0,0
2017,0308-5759,global,46,0
2017,0309-0892,de,1,0
2017,0309-0892,global,40,0
2017,0309-1325,de,0,0
2017,0309-1325,global,75,0
2017,0309-1333,de,0,0
2017,0309-1333,global,49,0
2017,0309-3247,de,3,0
2017,0309-3247,global,44,0
2017,0309-524X,de,1,0
2017,0309-524X,global,38,0
2017,0309-8168,de,0,0
2017,0309-8168,global,71,0
2017,0310-057X,de,3,0
2017,0310-057X,global,116,0
2017,0312-8962,de,0,0
2017,0312-8962,global,29,0
2017,0332-4893,de,0,0
2017,0332-4893,global,35,1
2017,0333-1024,de,14,0
2017,0333-1024,global,199,0
2017,0340-0352,de,1,0
2017,0340-0352,global,33,0
2017,0361-1981,de,9,0
2017,0361-1981,global,935,0
2017,0361-6843,de,1,0
2017,0361-6843,global,58,0
2017,0363-1990,de,7,0
2017,0363-1990,global,35,0
2017,0363-5465,de,10,0
2017,0363-5465,global,406,0
2017,0376-9836,de,0,0
2017,0376-9836,global,42,0
2017,0379-5721,de,1,0
2017,0379-5721,global,54,0
2017,0391-3988,de,14,0
2017,0391-3988,global,119,0
2017,0391-5603,de,0,0
2017,0391-5603,global,63,0
2017,0392-1921,de,0,0
2017,0392-1921,global,32,2
2017,0486-6134,de,0,0
2017,0486-6134,global,54,0
2017,0533-3164,de,0,0
2017,0533-3164,global,59,0
2017,0539-0184,de,3,0
2017,0539-0184,global,34,0
2017,0569-4345,de,0,0
2017,0569-4345,global,20,0
2017,0706-7437,de,2,0
2017,0706-7437,global,118,0
2017,0725-5136,de,3,0
2017,0725-5136,global,67,0
2017,0730-8884,de,0,0
2017,0730-8884,global,18,0
2017,0731-1214,de,0,0
2017,0731-1214,global,39,0
2017,0731-6844,de,1,0
2017,0731-6844,global,121,0
2017,0731-9487,de,0,0
2017,0731-9487,global,30,0
2017,0733-4648,de,0,0
2017,0733-4648,global,91,0
2017,0734-0168,de,0,0
2017,0734-0168,global,65,0
2017,0734-2829,de,1,0
2017,0734-2829,global,69,0
2017,0734-371X,de,2,0
2017,0734-371X,global,35,0
2017,0734-9041,de,1,0
2017,0734-9041,global,33,0
2017,0735-2751,de,0,0
2017,0735-2751,global,18,0
2017,0735-6331,de,0,0
2017,0735-6331,global,81,0
2017,0738-8942,de,0,0
2017,0738-8942,global,39,0
2017,0739-456X,de,0,0
2017,0739-456X,global,106,0
2017,0739-5329,de,0,0
2017,0739-5329,global,46,0
2017,0739-8913,de,0,0
2017,0739-8913,global,58,0
2017,0739-9863,de,0,0
2017,0739-9863,global,25,0
2017,0741-0883,de,0,0
2017,0741-0883,global,23,0
2017,0741-7136,de,2,0
2017,0741-7136,global,34,0
2017,0741-9325,de,0,0
2017,0741-9325,global,31,0
2017,0743-5584,de,0,0
2017,0743-5584,global,25,0
2017,0743-9156,de,1,0
2017,0743-9156,global,30,0
2017,0747-5284,de,0,0
2017,0747-5284,global,22,0
2017,0748-2337,de,0,0
2017,0748-2337,global,60,0
2017,0748-7304,de,5,0
2017,0748-7304,global,58,0
2017,0748-8068,de,0,0
2017,0748-8068,global,36,0
2017,0759-1063,de,4,0
2017,0759-1063,global,64,0
2017,0767-3701,de,0,0
2017,0767-3701,global,23,0
2017,0791-6035,de,1,0
2017,0791-6035,global,28,0
2017,0825-8597,de,4,0
2017,0825-8597,global,26,0
2017,0829-5735,de,0,0
2017,0829-5735,global,24,0
2017,0840-4704,de,0,0
2017,0840-4704,global,61,0
2017,0843-8714,de,1,0
2017,0843-8714,global,168,0
2017,0844-5621,de,0,0
2017,0844-5621,global,26,0
2017,0846-5371,de,1,0
