cr_year,esac_publisher,collection,cc,cc_articles,articles,prop
2021,Nature (MPDL),global,CC BY-NC,0,0,0
2021,Portland Press (TIB),global,CC BY-NC,0,0,0
2021,RSC (TIB),global,CC BY-NC,1635,33913,0.0482116002712824
2021,Sage (BSB),global,CC BY-NC,3541,64053,0.055282344308619426
2021,TaylorFrancis (ZBW),global,CC BY-NC,2,14290,1.3995801259622114e-4
2022,BMJ (BSB),global,CC BY-NC,530,5610,0.0944741532976827
2022,CUP (BSB),global,CC BY-NC,61,24119,0.002529126414859654
2022,ECS (TIB),global,CC BY-NC,0,0,0
2022,IOP (TIB),global,CC BY-NC,0,0,0
2022,Karger (BSB),global,CC BY-NC,599,3916,0.15296220633299284
2022,Nature (MPDL),global,CC BY-NC,0,0,0
2022,Portland Press (TIB),global,CC BY-NC,0,0,0
2022,RSC (TIB),global,CC BY-NC,1423,32808,0.04337356742257986
2022,Sage (BSB),global,CC BY-NC,4514,63017,0.07163146452544551
2022,TaylorFrancis (ZBW),global,CC BY-NC,9,13109,6.865512243496835e-4
2023,BMJ (BSB),global,CC BY-NC,583,3807,0.15313895455739426
2023,CUP (BSB),global,CC BY-NC,96,18266,0.00525566626519216
2023,ECS (TIB),global,CC BY-NC,0,0,0
2023,IOP (TIB),global,CC BY-NC,0,0,0
2023,Karger (BSB),global,CC BY-NC,498,3199,0.1556736480150047
2023,Nature (MPDL),global,CC BY-NC,0,0,0
2023,Portland Press (TIB),global,CC BY-NC,0,0,0
2023,RSC (TIB),global,CC BY-NC,1862,31425,0.0592521877486078
2023,Sage (BSB),global,CC BY-NC,4600,49227,0.09344465435634916
2023,TaylorFrancis (ZBW),global,CC BY-NC,17,10306,0.0016495245488065205
2017,BMJ (BSB),global,CC BY-NC-SA,0,0,0
2017,CUP (BSB),global,CC BY-NC-SA,34,24976,0.0013613068545803972
2017,ECS (TIB),global,CC BY-NC-SA,0,0,0
2017,IOP (TIB),global,CC BY-NC-SA,0,0,0
2017,Karger (BSB),global,CC BY-NC-SA,0,0,0
2017,Nature (MPDL),global,CC BY-NC-SA,0,0,0
2017,Portland Press (TIB),global,CC BY-NC-SA,0,0,0
2017,RSC (TIB),global,CC BY-NC-SA,0,0,0
2017,Sage (BSB),global,CC BY-NC-SA,0,0,0
2017,TaylorFrancis (ZBW),global,CC BY-NC-SA,0,0,0
2018,BMJ (BSB),global,CC BY-NC-SA,0,0,0
2018,CUP (BSB),global,CC BY-NC-SA,36,25910,0.0013894249324585101
2018,ECS (TIB),global,CC BY-NC-SA,0,0,0
2018,IOP (TIB),global,CC BY-NC-SA,0,0,0
2018,Karger (BSB),global,CC BY-NC-SA,0,0,0
2018,Nature (MPDL),global,CC BY-NC-SA,1,10754,9.298865538404315e-5
2018,Portland Press (TIB),global,CC BY-NC-SA,0,0,0
2018,RSC (TIB),global,CC BY-NC-SA,0,0,0
2018,Sage (BSB),global,CC BY-NC-SA,0,0,0
2018,TaylorFrancis (ZBW),global,CC BY-NC-SA,0,0,0
2019,BMJ (BSB),global,CC BY-NC-SA,0,0,0
2019,CUP (BSB),global,CC BY-NC-SA,69,25934,0.0026605999845762318
2019,ECS (TIB),global,CC BY-NC-SA,0,0,0
2019,IOP (TIB),global,CC BY-NC-SA,1,15576,6.420133538777607e-5
2019,Karger (BSB),global,CC BY-NC-SA,0,0,0
2019,Nature (MPDL),global,CC BY-NC-SA,0,0,0
2019,Portland Press (TIB),global,CC BY-NC-SA,0,0,0
2019,RSC (TIB),global,CC BY-NC-SA,0,0,0
2019,Sage (BSB),global,CC BY-NC-SA,0,0,0
2019,TaylorFrancis (ZBW),global,CC BY-NC-SA,0,0,0
2020,BMJ (BSB),global,CC BY-NC-SA,0,0,0
2020,CUP (BSB),global,CC BY-NC-SA,138,27756,0.004971897968006917
2020,ECS (TIB),global,CC BY-NC-SA,0,0,0
2020,IOP (TIB),global,CC BY-NC-SA,0,0,0
2020,Karger (BSB),global,CC BY-NC-SA,0,0,0
2020,Nature (MPDL),global,CC BY-NC-SA,0,0,0
2020,Portland Press (TIB),global,CC BY-NC-SA,0,0,0
2020,RSC (TIB),global,CC BY-NC-SA,0,0,0
2020,Sage (BSB),global,CC BY-NC-SA,0,0,0
2020,TaylorFrancis (ZBW),global,CC BY-NC-SA,0,0,0
2021,BMJ (BSB),global,CC BY-NC-SA,0,0,0
2021,CUP (BSB),global,CC BY-NC-SA,228,26609,0.00856852944492465
2021,ECS (TIB),global,CC BY-NC-SA,0,0,0
