cr_year,esac_publisher,agreement,lead,collection,articles,oa_articles,oa_prop,all_journals,oa_journals,journal_prop
2022,AIP (TIB),AIP,TIB,Global,15015,2,1.332001332001332e-4,26,2,0.07692307692307693
2022,BMJ (BSB),BMJ,BSB,Global,5610,1057,0.18841354723707665,28,28,1
2022,CUP (BSB),CUP,BSB,Global,24183,8097,0.33482198238431954,331,327,0.9879154078549849
2022,De Gruyter (SUB Göttingen),De Gruyter,SUB Göttingen,Global,2399,494,0.2059191329720717,100,88,0.88
2022,De Gruyter (ZBW),De Gruyter,ZBW,Global,1310,240,0.183206106870229,59,40,0.6779661016949152
2022,ECS (TIB),ECS,TIB,Global,2012,520,0.2584493041749503,2,2,1
2022,Elsevier (DEAL),Elsevier,DEAL,Global,570658,61039,0.10696248891630364,1845,1771,0.9598915989159892
2022,Hogrefe (SUB Göttingen),Hogrefe,SUB Göttingen,Global,964,263,0.27282157676348545,28,25,0.8928571428571429
2022,IOP (TIB),IOP,TIB,Global,15444,2804,0.18155918155918155,56,56,1
2022,Karger (BSB),Karger,BSB,Global,4297,878,0.20432860134977893,70,67,0.9571428571428572
2022,Nature (MPDL),Nature,MPDL,Global,12508,1596,0.12759833706427887,35,35,1
2022,Portland Press (TIB),Portland Press,TIB,Global,565,360,0.6371681415929203,5,5,1
2022,RSC (TIB),RSC,TIB,Global,30008,3933,0.1310650493201813,37,37,1
2022,SPIE (TIB),SPIE,TIB,Global,1515,3,0.0019801980198019802,8,3,0.375
2022,Sage (BSB),Sage,BSB,Global,62995,10766,0.17090245257560124,965,852,0.8829015544041451
2022,Springer Hybrid (DEAL),Springer Hybrid,DEAL,Global,271468,49854,0.18364595458764937,2103,2011,0.9562529719448407
2022,TaylorFrancis (ZBW),TaylorFrancis,ZBW,Global,13138,2384,0.1814583650479525,239,211,0.8828451882845189
2022,Thieme (ZB MED),Thieme,ZB MED,Global,431,78,0.18097447795823665,5,5,1
2022,Wiley Hybrid (DEAL),Wiley Hybrid,DEAL,Global,206188,54387,0.26377383746871785,1377,1342,0.9745824255628177
2023,ACM (hebis),ACM,hebis,Global,4775,0,0,58,0,0
2023,AIP (TIB),AIP,TIB,Global,16931,0,0,26,0,0
2023,BMJ (BSB),BMJ,BSB,Global,4678,1037,0.22167592988456605,27,27,1
2023,CUP (BSB),CUP,BSB,Global,24244,9432,0.3890447120937139,327,325,0.9938837920489296
2023,De Gruyter (SUB Göttingen),De Gruyter,SUB Göttingen,Global,2254,531,0.23558118899733807,101,88,0.8712871287128713
2023,De Gruyter (ZBW),De Gruyter,ZBW,Global,1323,334,0.25245653817082386,58,41,0.7068965517241379
2023,ECS (TIB),ECS,TIB,Global,1640,512,0.3121951219512195,2,2,1
2023,Elsevier (DEAL),Elsevier,DEAL,Global,581380,77056,0.13253981905122295,1856,1811,0.9757543103448276
2023,Hogrefe (SUB Göttingen),Hogrefe,SUB Göttingen,Global,958,282,0.29436325678496866,28,27,0.9642857142857143
2023,IOP (TIB),IOP,TIB,Global,16057,4306,0.2681696456374167,54,54,1
2023,Karger (BSB),Karger,BSB,Global,4282,1128,0.2634283045305932,70,68,0.9714285714285714
2023,Nature (MPDL),Nature,MPDL,Global,13731,2513,0.1830165319350375,35,35,1
2023,Portland Press (TIB),Portland Press,TIB,Global,525,358,0.6819047619047619,5,5,1
2023,RSC (TIB),RSC,TIB,Global,30272,4947,0.16341834038054967,37,37,1
2023,SPIE (TIB),SPIE,TIB,Global,1169,2,0.001710863986313088,8,1,0.125
2023,Sage (BSB),Sage,BSB,Global,59867,13087,0.21860123273255716,963,871,0.9044652128764278
2023,Springer Hybrid (DEAL),Springer Hybrid,DEAL,Global,263315,56235,0.2135655013956668,2071,1993,0.9623370352486721
2023,TaylorFrancis (ZBW),TaylorFrancis,ZBW,Global,12599,2756,0.21874751964441622,238,210,0.8823529411764706
2023,Thieme (ZB MED),Thieme,ZB MED,Global,457,79,0.17286652078774617,5,5,1
2023,Wiley Hybrid (DEAL),Wiley Hybrid,DEAL,Global,207850,71145,0.34229011306230456,1375,1355,0.9854545454545455
2024,ACM (hebis),ACM,hebis,Global,4482,0,0,57,0,0
2024,AIP (TIB),AIP,TIB,Global,15825,0,0,26,0,0
2024,BMJ (BSB),BMJ,BSB,Global,4131,943,0.22827402565964658,27,27,1
2024,CUP (BSB),CUP,BSB,Global,14610,6659,0.45578370978781657,318,313,0.9842767295597484
2024,De Gruyter (SUB Göttingen),De Gruyter,SUB Göttingen,Global,1622,539,0.3323057953144266,86,77,0.8953488372093024
2024,De Gruyter (ZBW),De Gruyter,ZBW,Global,998,241,0.24148296593186372,55,38,0.6909090909090909
2024,ECS (TIB),ECS,TIB,Global,1414,437,0.30905233380480907,2,2,1
2024,Elsevier (DEAL),Elsevier,DEAL,Global,636054,108536,0.17063959978240842,1846,1824,0.9880823401950163
2024,Hogrefe (SUB Göttingen),Hogrefe,SUB Göttingen,Global,815,285,0.3496932515337423,27,26,0.9629629629629629
2024,IOP (TIB),IOP,TIB,Global,18935,5042,0.2662793768154212,54,54,1
2024,Karger (BSB),Karger,BSB,Global,3313,940,0.2837307576214911,69,69,1
2024,Nature (MPDL),Nature,MPDL,Global,12164,2538,0.208648470897731,35,35,1
2024,Portland Press (TIB),Portland Press,TIB,Global,402,294,0.7313432835820896,5,5,1
2024,RSC (TIB),RSC,TIB,Global,30240,6412,0.21203703703703702,37,37,1
2024,SPIE (TIB),SPIE,TIB,Global,1128,0,0,8,0,0
2024,Sage (BSB),Sage,BSB,Global,48957,11530,0.2355127969442572,948,860,0.9071729957805907
2024,Springer Hybrid (DEAL),Springer Hybrid,DEAL,Global,240482,62202,0.25865553347028053,2052,1988,0.9688109161793372
2024,TaylorFrancis (ZBW),TaylorFrancis,ZBW,Global,11091,2824,0.25462086376341175,234,214,0.9145299145299145
2024,Thieme (ZB MED),Thieme,ZB MED,Global,317,62,0.19558359621451105,5,5,1
2024,Wiley Hybrid (DEAL),Wiley Hybrid,DEAL,Global,185735,66471,0.3578808517511508,1369,1344,0.9817384952520087
2017,ACM (hebis),ACM,hebis,Germany,130,0,0,35,0,0
2017,AIP (TIB),AIP,TIB,Germany,1129,1,0.00088573959255978745,22,1,0.045454545454545456
2017,BMJ (BSB),BMJ,BSB,Germany,175,0,0,21,0,0
2017,CUP (BSB),CUP,BSB,Germany,652,25,0.03834355828220859,185,19,0.10270270270270271
2017,De Gruyter (SUB Göttingen),De Gruyter,SUB Göttingen,Germany,224,8,0.03571428571428571,54,2,0.037037037037037035
2017,De Gruyter (ZBW),De Gruyter,ZBW,Germany,134,6,0.04477611940298507,28,1,0.03571428571428571
2017,ECS (TIB),ECS,TIB,Germany,89,0,0,2,0,0
2017,Elsevier (DEAL),Elsevier,DEAL,Germany,16320,890,0.0545343137254902,1430,434,0.3034965034965035
2017,Hogrefe (SUB Göttingen),Hogrefe,SUB Göttingen,Germany,288,7,0.024305555555555556,25,4,0.16
2017,IOP (TIB),IOP,TIB,Germany,1145,114,0.09956331877729258,49,31,0.6326530612244898
2017,Karger (BSB),Karger,BSB,Germany,452,14,0.030973451327433628,59,8,0.13559322033898305
2017,Nature (MPDL),Nature,MPDL,Germany,427,5,0.0117096018735363,24,4,0.16666666666666666
2017,Portland Press (TIB),Portland Press,TIB,Germany,32,4,0.125,4,2,0.5
2017,RSC (TIB),RSC,TIB,Germany,1436,123,0.08565459610027855,35,25,0.7142857142857143
2017,SPIE (TIB),SPIE,TIB,Germany,42,0,0,7,0,0
2017,Sage (BSB),Sage,BSB,Germany,1391,4,0.002875629043853343,441,4,0.009070294784580499
2017,Springer Hybrid (DEAL),Springer Hybrid,DEAL,Germany,13336,983,0.07371025794841032,1358,461,0.3394698085419735
2017,TaylorFrancis (ZBW),TaylorFrancis,ZBW,Germany,553,40,0.07233273056057866,135,25,0.18518518518518517
2017,Thieme (ZB MED),Thieme,ZB MED,Germany,82,1,0.012195121951219513,5,1,0.2
2017,Wiley Hybrid (DEAL),Wiley Hybrid,DEAL,Germany,10602,535,0.050462176947745706,962,219,0.22765072765072766
2018,ACM (hebis),ACM,hebis,Germany,146,0,0,41,0,0
2018,AIP (TIB),AIP,TIB,Germany,997,0,0,23,0,0
