esac_publisher,cr_year,country_name,cc_total,articles,prop
All,2017,Somalia,1,5,0.2
All,2017,Suriname,0,6,0
All,2017,South Sudan,0,56,0
All,2017,El Salvador,0,10,0
All,2017,Sint Maarten,0,1,0
All,2017,Syria,1,71,0.014084507042253521
All,2017,Eswatini,1,7,0.14285714285714285
All,2017,Chad,0,2,0
All,2017,Togo,0,29,0
All,2017,Thailand,73,3621,0.02016017674675504
All,2017,Tajikistan,5,44,0.11363636363636363
All,2017,Timor-Leste,1,4,0.25
All,2017,Turkmenistan,0,2,0
All,2017,Tunisia,25,3178,0.007866582756450597
All,2017,Tonga,0,1,0
All,2017,Turkey,77,11633,0.00661910083383478
All,2017,Trinidad & Tobago,4,77,0.05194805194805195
All,2017,Taiwan,158,9545,0.016553169198533262
All,2017,Tanzania,11,168,0.06547619047619048
All,2017,Ukraine,23,1439,0.015983321751216122
All,2017,Uganda,29,161,0.18012422360248448
All,2017,United States,6168,206671,0.02984453551780366
All,2017,Uruguay,1,399,0.002506265664160401
All,2017,Uzbekistan,1,149,0.006711409395973154
All,2017,Vatican City,0,1,0
All,2017,St. Vincent & Grenadines,0,1,0
All,2017,Venezuela,3,259,0.011583011583011582
All,2017,British Virgin Islands,0,1,0
All,2017,U.S. Virgin Islands,0,6,0
All,2017,Vietnam,16,1459,0.010966415352981495
All,2017,Vanuatu,0,5,0
All,2017,Samoa,0,4,0
All,2017,Yemen,0,78,0
All,2017,South Africa,417,5215,0.07996164908916586
All,2017,Zambia,4,51,0.0784313725490196
All,2017,Zimbabwe,8,141,0.05673758865248227
All,2018,Andorra,0,2,0
All,2018,United Arab Emirates,16,961,0.01664932362122789
All,2018,Afghanistan,1,16,0.0625
All,2018,Antigua & Barbuda,0,5,0
All,2018,Albania,0,56,0
All,2018,Armenia,5,137,0.0364963503649635
All,2018,Angola,0,5,0
All,2018,Argentina,45,4118,0.010927634774162214
All,2018,American Samoa,0,1,0
All,2018,Austria,2166,6437,0.3364921547304645
All,2018,Australia,976,30771,0.03171817620486822
All,2018,Aruba,0,2,0
All,2018,Azerbaijan,2,118,0.01694915254237288
All,2018,Bosnia & Herzegovina,0,114,0
All,2018,Barbados,1,23,0.043478260869565216
All,2018,Bangladesh,27,1025,0.026341463414634145
All,2018,Belgium,500,8384,0.059637404580152674
All,2018,Burkina Faso,3,82,0.036585365853658534
All,2018,Bulgaria,10,749,0.01335113484646195
All,2018,Bahrain,1,60,0.016666666666666666
All,2018,Burundi,2,39,0.05128205128205128
All,2018,Benin,10,109,0.09174311926605505
All,2018,Bermuda,0,3,0
All,2018,Brunei,0,84,0
All,2018,Bolivia,3,50,0.06
All,2018,Brazil,390,22305,0.017484868863483525
All,2018,Bahamas,1,9,0.1111111111111111
All,2018,Bhutan,1,10,0.1
All,2018,Botswana,3,113,0.02654867256637168
All,2018,Belarus,6,216,0.027777777777777776
All,2018,Belize,1,3,0.3333333333333333
All,2018,Canada,1201,29923,0.04013634996490994
All,2018,Congo - Kinshasa,2,58,0.034482758620689655
All,2018,Central African Republic,1,5,0.2
All,2018,Congo - Brazzaville,2,20,0.1
All,2018,Switzerland,973,10141,0.09594714525194754
All,2018,Côte d’Ivoire,9,93,0.0967741935483871
All,2018,Chile,68,2803,0.02425972172672137
All,2018,Cameroon,10,426,0.023474178403755867
All,2018,China,2853,190737,0.014957769074694474
All,2018,Colombia,42,1968,0.021341463414634148
All,2018,Costa Rica,12,159,0.07547169811320754
All,2018,Cuba,11,240,0.04583333333333333
All,2018,Cape Verde,0,1,0
All,2018,Curaçao,0,4,0
All,2018,Cyprus,11,715,0.015384615384615385
All,2018,Czechia,198,5090,0.03889980353634578
All,2018,Germany,3597,49243,0.07304591515545357
All,2018,Djibouti,0,6,0
All,2018,Denmark,515,7296,0.07058662280701754
All,2018,Dominica,0,5,0
All,2018,Dominican Republic,1,11,0.09090909090909091
All,2018,Algeria,15,2195,0.00683371298405467
All,2018,Ecuador,12,384,0.03125
All,2018,Estonia,32,570,0.056140350877192984
All,2018,Egypt,71,6095,0.011648892534864643
All,2018,Eritrea,0,1,0
All,2018,Spain,915,28131,0.03252639436920124
All,2018,Ethiopia,42,509,0.0825147347740668
All,2018,Finland,706,5042,0.1400238000793336
All,2018,Fiji,2,56,0.03571428571428571
All,2018,Falkland Islands,0,6,0
All,2018,Faroe Islands,0,13,0
All,2018,France,943,33408,0.02822677203065134
All,2018,Gabon,1,21,0.047619047619047616
All,2018,United Kingdom,11946,56907,0.209921450788128
All,2018,Grenada,1,37,0.02702702702702703
All,2018,Georgia,2,95,0.021052631578947368
All,2018,French Guiana,1,26,0.038461538461538464
All,2018,Ghana,25,517,0.048355899419729204
All,2018,Gibraltar,0,2,0
All,2018,Greenland,3,16,0.1875
All,2018,Gambia,3,6,0.5
All,2018,Guinea,0,4,0
All,2018,Guadeloupe,1,32,0.03125
All,2018,Greece,87,4827,0.018023617153511497
All,2018,Guatemala,0,31,0
All,2018,Guam,2,13,0.15384615384615385
All,2018,Guinea-Bissau,0,8,0
All,2018,Guyana,0,5,0
All,2018,Hong Kong SAR China,149,5825,0.0255793991416309
All,2018,Honduras,1,11,0.09090909090909091
All,2018,Croatia,33,1109,0.029756537421100092
All,2018,Haiti,0,5,0
All,2018,Hungary,186,2387,0.07792207792207792
All,2018,Indonesia,44,2885,0.015251299826689775
All,2018,Ireland,148,3853,0.03841162730339995
All,2018,Israel,134,6344,0.02112232030264817
All,2018,Isle of Man,0,1,0
All,2018,India,429,45669,0.009393680614859094
All,2018,Iraq,35,879,0.03981797497155859
All,2018,Iran,193,22821,0.008457122825467771
All,2018,Iceland,27,301,0.08970099667774087
All,2018,Italy,1260,32082,0.039274359453899385
All,2018,Jersey,3,33,0.09090909090909091
All,2018,Jamaica,2,55,0.03636363636363636
All,2018,Jordan,10,835,0.011976047904191617
All,2018,Japan,2086,36755,0.056754183104339544
All,2018,Kenya,79,418,0.18899521531100477
