cr_year,issn_l,collection,articles,oa_articles
2017,0032-079X,global,376,36
2017,0032-0935,de,6,0
2017,0032-0935,global,188,23
2017,0032-2687,de,3,1
2017,0032-2687,global,38,9
2017,0032-3470,de,2,0
2017,0032-3470,global,58,0
2017,0032-3896,de,1,0
2017,0032-3896,global,91,1
2017,0032-8332,de,2,0
2017,0032-8332,global,55,3
2017,0033-1538,de,0,0
2017,0033-1538,global,22,2
2017,0033-183X,de,15,3
2017,0033-183X,global,136,20
2017,0033-2720,de,1,0
2017,0033-2720,global,67,4
2017,0033-2933,de,0,0
2017,0033-2933,global,44,2
2017,0033-2968,de,0,0
2017,0033-2968,global,51,0
2017,0033-3123,de,4,0
2017,0033-3123,global,60,1
2017,0033-3158,de,13,2
2017,0033-3158,global,299,51
2017,0033-4006,de,62,0
2017,0033-4006,global,84,2
2017,0033-4553,de,6,0
2017,0033-4553,global,299,35
2017,0033-5177,de,5,1
2017,0033-5177,global,134,18
2017,0033-832X,de,108,8
2017,0033-832X,global,139,15
2017,0033-8362,de,5,0
2017,0033-8362,global,126,3
2017,0035-4511,de,1,0
2017,0035-4511,global,77,7
2017,0035-5038,de,0,0
2017,0035-5038,global,37,1
2017,0036-6978,de,14,1
2017,0036-6978,global,21,2
2017,0037-1912,de,1,0
2017,0037-1912,global,67,4
2017,0038-0938,de,1,0
2017,0038-0938,global,182,27
2017,0038-1527,de,0,0
2017,0038-1527,global,65,6
2017,0038-6308,de,8,1
2017,0038-6308,global,129,29
2017,0039-3169,de,1,0
2017,0039-3169,global,40,3
2017,0039-3215,de,8,0
2017,0039-3215,global,74,11
2017,0039-3606,de,0,0
2017,0039-3606,global,22,3
2017,0039-3746,de,1,0
2017,0039-3746,global,34,6
2017,0039-7857,de,24,0
2017,0039-7857,global,330,70
2017,0040-5752,de,16,3
2017,0040-5752,global,195,40
2017,0040-5833,de,6,0
2017,0040-5833,global,62,14
2017,0042-0972,de,0,0
2017,0042-0972,global,54,2
2017,0043-2288,de,35,1
2017,0043-2288,global,126,13
2017,0043-5325,de,3,0
2017,0043-5325,global,137,37
2017,0043-5341,de,19,4
2017,0043-5341,global,64,17
2017,0043-7719,de,4,1
2017,0043-7719,global,97,15
2017,0044-2275,de,6,0
2017,0044-2275,global,139,5
2017,0044-2372,de,37,3
2017,0044-2372,global,43,3
2017,0044-2585,de,17,0
2017,0044-2585,global,31,1
2017,0044-7447,de,4,1
2017,0044-7447,global,75,24
2017,0044-8435,de,6,0
2017,0044-8435,global,74,12
2017,0045-6713,de,0,0
2017,0045-6713,global,37,7
2017,0046-5755,de,6,0
2017,0046-5755,global,93,5
2017,0046-8983,de,0,0
2017,0046-8983,global,42,0
2017,0046-8991,de,0,0
2017,0046-8991,global,68,0
2017,0047-2468,de,2,0
2017,0047-2468,global,38,1
2017,0047-2506,de,3,0
2017,0047-2506,global,74,2
2017,0047-2891,de,7,0
2017,0047-2891,global,170,13
2017,0048-3893,de,15,1
2017,0048-3893,global,145,27
2017,0048-5829,de,6,1
2017,0048-5829,global,98,10
2017,0049-4488,de,4,0
2017,0049-4488,global,88,15
2017,0049-4747,de,2,0
2017,0049-4747,global,286,18
2017,0049-6979,de,12,0
2017,0049-6979,global,442,28
2017,0049-8653,de,26,0
2017,0049-8653,global,36,2
2017,0071-3260,de,1,0
2017,0071-3260,global,36,6
2017,0075-5974,de,0,0
2017,0075-5974,global,53,22
2017,0085-4530,de,69,1
2017,0085-4530,global,133,10
2017,0090-4341,de,0,0
2017,0090-4341,global,142,9
2017,0090-502X,de,5,2
2017,0090-502X,global,94,14
2017,0090-6905,de,5,0
2017,0090-6905,global,79,7
2017,0090-6964,de,2,0
2017,0090-6964,global,188,25
2017,0091-1674,de,0,0
2017,0091-1674,global,29,4
2017,0092-0606,de,0,0
2017,0092-0606,global,44,4
2017,0092-0703,de,6,0
2017,0092-0703,global,64,5
2017,0092-8240,de,5,0
2017,0092-8240,global,143,13
2017,0093-7711,de,6,3
2017,0093-7711,global,84,25
2017,0094-5145,de,0,0
2017,0094-5145,global,147,9
2017,0095-3628,de,17,0
2017,0095-3628,global,213,19
2017,0095-4616,de,5,0
2017,0095-4616,global,72,1
2017,0095-9782,de,2,0
2017,0095-9782,global,132,5
2017,0097-0549,de,0,0
2017,0097-0549,global,151,0
2017,0098-0331,de,8,0
2017,0098-0331,global,109,14
2017,0100-8404,de,1,0
2017,0100-8404,global,82,0
2017,0102-695X,de,1,1
2017,0102-695X,global,114,114
2017,0103-9733,de,1,0
2017,0103-9733,global,73,0
2017,0104-6632,de,0,0
2017,0104-6632,global,100,0
2017,0112-1642,de,6,1
2017,0112-1642,global,159,36
2017,0114-5916,de,1,0
2017,0114-5916,global,133,29
2017,0119-5646,de,0,0
2017,0119-5646,global,41,0
2017,0126-6705,de,0,0
2017,0126-6705,global,153,5
2017,0133-3720,de,0,0
2017,0133-3720,global,67,0
2017,0137-5881,de,0,0
2017,0137-5881,global,256,26
2017,0138-4821,de,7,1
2017,0138-4821,global,50,6
2017,0138-9130,de,28,7
2017,0138-9130,global,413,53
2017,0140-0118,de,4,0
2017,0140-0118,global,159,18
2017,0141-5492,de,6,0
2017,0141-5492,global,224,10
2017,0142-4319,de,4,1
2017,0142-4319,global,30,4
2017,0144-932X,de,1,0
2017,0144-932X,global,16,6
2017,0145-479X,de,0,0
2017,0145-479X,global,40,0
2017,0146-1044,de,1,0
2017,0146-1044,global,43,2
2017,0146-3721,de,0,0
2017,0146-3721,global,24,0
2017,0146-7239,de,4,0
2017,0146-7239,global,65,6
2017,0147-1694,de,0,0
2017,0147-1694,global,46,2
2017,0147-2011,de,5,0
2017,0147-2011,global,127,3
2017,0147-5916,de,7,0
2017,0147-5916,global,57,5
2017,0148-5598,de,7,2
2017,0148-5598,global,205,10
2017,0157-244X,de,7,1
2017,0157-244X,global,129,22
2017,0159-7868,de,0,0
2017,0159-7868,global,13,0
2017,0160-7715,de,0,0
2017,0160-7715,global,89,6
2017,0162-0436,de,0,0
2017,0162-0436,global,23,0
2017,0162-3257,de,9,0
2017,0162-3257,global,450,66
2017,0163-2116,de,3,0
2017,0163-2116,global,454,14
2017,0163-4984,de,0,0
2017,0163-4984,global,308,26
