cat,type,esac_publisher,name,value,prop
global,Top 4-13,American Physical Society,Total Articles,142975,0.010350793251927122
global,Top 4-13,American Physical Society,Open Access Articles with Creative Commons License,22852,0.016841863217715646
global,Other,Walter de Gruyter,Total Articles,140658,0.010183052122605807
global,Other,Walter de Gruyter,Open Access Articles with Creative Commons License,9515,0.007012529691780342
global,Other,Emerald,Total Articles,137284,0.009938788604983831
global,Other,Emerald,Open Access Articles with Creative Commons License,85,6.264477391501094e-5
global,Other,AIP Publishing,Total Articles,124559,0.00901755171650142
global,Other,AIP Publishing,Open Access Articles with Creative Commons License,9,6.632976061589394e-6
global,Other,BMJ Publishing,Total Articles,97181,0.007035498786609755
global,Other,BMJ Publishing,Open Access Articles with Creative Commons License,8295,0.006113392936764891
global,Other,Thieme,Total Articles,90769,0.006571296748971309
global,Other,Thieme,Open Access Articles with Creative Commons License,1848,0.0013619710846463555
global,Other,World Scientific,Total Articles,68053,0.004926753160856069
global,Other,World Scientific,Open Access Articles with Creative Commons License,0,0
global,Other,Bentham Science Publishers,Total Articles,61462,0.004449592270326594
global,Other,Bentham Science Publishers,Open Access Articles with Creative Commons License,5184,0.003820594211475491
global,Other,American Psychological Association,Total Articles,56705,0.004105205325060517
global,Other,American Psychological Association,Open Access Articles with Creative Commons License,985,7.259423800739503e-4
global,Other,Brill,Total Articles,53228,0.0038534850373392335
global,Other,Brill,Open Access Articles with Creative Commons License,4622,0.003406401706296242
global,Other,"Mary Ann Liebert, Inc.",Total Articles,49785,0.0036042262077089827
global,Other,"Mary Ann Liebert, Inc.",Open Access Articles with Creative Commons License,0,0
global,Other,Association for Computing Machinery,Total Articles,44594,0.0032284194738691247
global,Other,Association for Computing Machinery,Open Access Articles with Creative Commons License,647,4.768372790942597e-4
global,Other,IOS Press,Total Articles,41391,0.002996535642528523
global,Other,IOS Press,Open Access Articles with Creative Commons License,3663,0.002699621257066883
global,Other,Karger,Total Articles,37006,0.0026790799446114013
global,Other,Karger,Open Access Articles with Creative Commons License,4379,0.0032273113526333284
global,Other,EDP Sciences,Total Articles,35137,0.0025437721454307626
global,Other,EDP Sciences,Open Access Articles with Creative Commons License,11034,0.008132028651508597
global,Other,Trans Tech Publications,Total Articles,31049,0.0022478180078970814
global,Other,Trans Tech Publications,Open Access Articles with Creative Commons License,868,6.397136912732882e-4
global,Other,National Academy of Sciences,Total Articles,30054,0.0021757841608212466
global,Other,National Academy of Sciences,Open Access Articles with Creative Commons License,15172,0.011181723645159364
global,Other,Optica,Total Articles,28351,0.0020524940687909484
global,Other,Optica,Open Access Articles with Creative Commons License,110,8.106970741942593e-5
global,Other,American Physiological Society,Total Articles,16886,0.001222475921329193
global,Other,American Physiological Society,Open Access Articles with Creative Commons License,0,0
global,Other,The Royal Society,Total Articles,16432,0.0011896082162312746
global,Other,The Royal Society,Open Access Articles with Creative Commons License,1265,9.323016353233981e-4
global,Other,Canadian Science Publishing,Total Articles,15708,0.0011371936380575012
global,Other,Canadian Science Publishing,Open Access Articles with Creative Commons License,715,5.269530982262685e-4
global,Other,American Meteorological Society,Total Articles,15308,0.0011082353075747536
global,Other,American Meteorological Society,Open Access Articles with Creative Commons License,380,2.8005898926710776e-4
global,Other,Future Science Group,Total Articles,15266,0.0011051946828740651
global,Other,Future Science Group,Open Access Articles with Creative Commons License,2231,0.0016442410659339931
global,Other,CSIRO,Total Articles,12907,9.344129288520606e-4
global,Other,CSIRO,Open Access Articles with Creative Commons License,0,0
global,Other,John Benjamins Publishing,Total Articles,12188,8.823603298093217e-4
global,Other,John Benjamins Publishing,Open Access Articles with Creative Commons License,1316,9.698884996724047e-4
global,Other,Company of Biologists,Total Articles,11418,8.266155436300324e-4
global,Other,Company of Biologists,Open Access Articles with Creative Commons License,1689,0.0012447885075582762
global,Other,SPIE,Total Articles,11132,8.059103373348678e-4
global,Other,SPIE,Open Access Articles with Creative Commons License,21,1.5476944143708587e-5
global,Other,Microbiology Society,Total Articles,8529,6.174640017183873e-4
global,Other,Microbiology Society,Open Access Articles with Creative Commons License,1575,0.0011607708107781438
global,Other,Akadémiai Kiadó,Total Articles,8080,5.84958275751503e-4
global,Other,Akadémiai Kiadó,Open Access Articles with Creative Commons License,2621,0.0019316700286028667
global,Other,Hogrefe,Total Articles,7341,5.314577601846268e-4
global,Other,Hogrefe,Open Access Articles with Creative Commons License,1049,7.731102098452526e-4
global,Other,Society for Neuroscience,Total Articles,6324,4.578312049322408e-4
global,Other,Society for Neuroscience,Open Access Articles with Creative Commons License,0,0
global,Other,Radiological Society of North America,Total Articles,5245,3.797161084550289e-4
global,Other,Radiological Society of North America,Open Access Articles with Creative Commons License,0,0
global,Other,Portland Press,Total Articles,5203,3.766754837543404e-4
global,Other,Portland Press,Open Access Articles with Creative Commons License,2383,0.001756264661640836
global,Other,Bioscientifica,Total Articles,4727,3.422150704798707e-4
global,Other,Bioscientifica,Open Access Articles with Creative Commons License,632,4.657823189916108e-4
global,Other,The Geological Society of London,Total Articles,4334,3.1376351078057105e-4
global,Other,The Geological Society of London,Open Access Articles with Creative Commons License,682,5.026321860004407e-4
global,Other,Rockefeller University Press,Total Articles,4169,3.0181819945643767e-4
global,Other,Rockefeller University Press,Open Access Articles with Creative Commons License,867,6.389766939331116e-4
global,Other,European Respiratory Society,Total Articles,4051,2.932754919640271e-4
global,Other,European Respiratory Society,Open Access Articles with Creative Commons License,769,5.667509545958048e-4
global,Other,Inter-Research Science Publisher,Total Articles,3955,2.8632549264816763e-4
global,Other,Inter-Research Science Publisher,Open Access Articles with Creative Commons License,557,4.105075184783658e-4
global,Other,Bristol University Press,Total Articles,3880,2.8089580568265246e-4
global,Other,Bristol University Press,Open Access Articles with Creative Commons License,482,3.5523271796512087e-4
global,Other,Royal College of General Practitioners,Total Articles,3469,2.511411211116292e-4
global,Other,Royal College of General Practitioners,Open Access Articles with Creative Commons License,485,3.5744370998565066e-4
global,Other,Cold Spring Harbor Laboratory Press,Total Articles,2303,1.6672758775441974e-4
global,Other,Cold Spring Harbor Laboratory Press,Open Access Articles with Creative Commons License,0,0
global,Other,Edward Elgar Publishing,Total Articles,1407,1.0186092747306495e-4
global,Other,Edward Elgar Publishing,Open Access Articles with Creative Commons License,70,5.158981381236195e-5
global,Other,Royal Irish Academy,Total Articles,1186,8.586144988134687e-5
global,Other,Royal Irish Academy,Open Access Articles with Creative Commons License,23,1.6950938824061784e-5
global,Other,White Horse Press,Total Articles,1046,7.572603421238518e-5
global,Other,White Horse Press,Open Access Articles with Creative Commons License,7,5.158981381236195e-6
global,Other,IWA Publishing,Total Articles,498,3.605312145102086e-5
global,Other,IWA Publishing,Open Access Articles with Creative Commons License,226,1.6656139887991143e-4
