cr_year,esac_publisher,cat,perc_cr,perc_upw,perc_diff
2017,Inter-Research Science Publisher,Germany,0,0,0
2017,Inter-Research Science Publisher,Global,0,0,0
2017,Bristol University Press,Germany,0,0,0
2017,Bristol University Press,Global,0.053,0.053,0
2017,Royal College of General Practitioners,Germany,0,0.5,-0.5
2017,Royal College of General Practitioners,Global,0,0.084,-0.084
2017,Cold Spring Harbor Laboratory Press,Germany,0,0.361,-0.361
2017,Cold Spring Harbor Laboratory Press,Global,0,0.504,-0.504
2017,Edward Elgar Publishing,Global,0,0.013,-0.013
2017,Royal Irish Academy,Global,0,0,0
2017,White Horse Press,Germany,0,0,0
2017,White Horse Press,Global,0,0,0
2017,IWA Publishing,Germany,0,0,0
2017,IWA Publishing,Global,0,0.014,-0.014
2018,Elsevier,Germany,0.066,0.072,-0.006
2018,Elsevier,Global,0.033,0.039,-0.006
2018,Springer Nature,Germany,0.072,0.072,0
2018,Springer Nature,Global,0.069,0.071,-0.002
2018,Wiley,Germany,0.061,0.062,-0.002
2018,Wiley,Global,0.057,0.059,-0.002
2018,Taylor and Francis,Germany,0.063,0.065,-0.002
2018,Taylor and Francis,Global,0.024,0.026,-0.002
2018,Wolters Kluwer Health,Germany,0.023,0.043,-0.02
2018,Wolters Kluwer Health,Global,0.013,0.019,-0.005
2018,Sage,Germany,0.01,0.035,-0.025
2018,Sage,Global,0.006,0.03,-0.024
2018,American Chemical Society,Germany,0.002,0.059,-0.057
2018,American Chemical Society,Global,0.001,0.057,-0.056
2018,IEEE,Germany,0.017,0.035,-0.018
2018,IEEE,Global,0.01,0.076,-0.066
2018,Oxford University Press,Germany,0.072,0.082,-0.01
2018,Oxford University Press,Global,0.052,0.076,-0.024
2018,Royal Society of Chemistry,Germany,0.193,0.193,0
2018,Royal Society of Chemistry,Global,0.07,0.071,-0
2018,Cambridge University Press,Germany,0.053,0.055,-0.001
2018,Cambridge University Press,Global,0.028,0.028,-0
2018,IOP Publishing,Germany,0.188,0.202,-0.014
2018,IOP Publishing,Global,0.067,0.069,-0.002
2018,The Electrochemical Society,Germany,0.192,0.205,-0.013
2018,The Electrochemical Society,Global,0.071,0.073,-0.003
2018,American Physical Society,Germany,0.126,0.23,-0.104
2018,American Physical Society,Global,0.141,0.38,-0.239
2018,Walter de Gruyter,Germany,0.025,0.016,0.009
2018,Walter de Gruyter,Global,0.026,0.025,0.001
2018,Emerald,Germany,0.004,0.025,-0.021
2018,Emerald,Global,0.004,0.018,-0.014
2018,AIP Publishing,Germany,0,0.084,-0.084
2018,AIP Publishing,Global,0,0.107,-0.107
2018,BMJ Publishing,Germany,0.005,0.119,-0.113
2018,BMJ Publishing,Global,0.003,0.096,-0.092
2018,Thieme,Germany,0.023,0.025,-0.001
2018,Thieme,Global,0.009,0.013,-0.004
2018,World Scientific,Germany,0,0.044,-0.044
2018,World Scientific,Global,0,0.012,-0.012
2018,Bentham Science Publishers,Germany,0.022,0,0.022
2018,Bentham Science Publishers,Global,0.028,0,0.028
2018,American Psychological Association,Germany,0.022,0.022,0
2018,American Psychological Association,Global,0.011,0.011,-0
2018,Brill,Germany,0.035,0.032,0.003
2018,Brill,Global,0.026,0.028,-0.001
2018,"Mary Ann Liebert, Inc.",Germany,0,0.066,-0.066
2018,"Mary Ann Liebert, Inc.",Global,0,0.02,-0.02
2018,Association for Computing Machinery,Germany,0,0,0
2018,Association for Computing Machinery,Global,0.004,0.027,-0.023
2018,IOS Press,Germany,0.09,0.038,0.051
2018,IOS Press,Global,0.068,0.024,0.045
2018,Karger,Germany,0.03,0.03,0
2018,Karger,Global,0.047,0.049,-0.001
2018,EDP Sciences,Germany,0.063,0.061,0.002
2018,EDP Sciences,Global,0.097,0.096,0.001
2018,Trans Tech Publications,Germany,0.236,0.236,0
2018,Trans Tech Publications,Global,0.031,0.031,0
2018,National Academy of Sciences,Germany,0.442,0.447,-0.004
2018,National Academy of Sciences,Global,0.29,0.309,-0.019
2018,Optica,Germany,0,0.039,-0.039
2018,Optica,Global,0.001,0.113,-0.112
2018,American Physiological Society,Germany,0,0.088,-0.088
2018,American Physiological Society,Global,0,0.047,-0.047
2018,The Royal Society,Germany,0,0.248,-0.248
2018,The Royal Society,Global,0,0.228,-0.228
2018,Canadian Science Publishing,Germany,0,0.053,-0.053
2018,Canadian Science Publishing,Global,0,0.029,-0.029
2018,American Meteorological Society,Germany,0,0.247,-0.247
2018,American Meteorological Society,Global,0.017,0.398,-0.381
2018,Future Science Group,Germany,0.119,0.119,0
2018,Future Science Group,Global,0.101,0.101,0
2018,CSIRO,Germany,0,0.107,-0.107
2018,CSIRO,Global,0,0.035,-0.035
2018,John Benjamins Publishing,Germany,0.012,0.012,0
2018,John Benjamins Publishing,Global,0.022,0.006,0.016
2018,Company of Biologists,Germany,0.095,0.771,-0.676
2018,Company of Biologists,Global,0.073,0.653,-0.579
2018,SPIE,Germany,0,0.295,-0.295
2018,SPIE,Global,0,0.126,-0.126
2018,Microbiology Society,Germany,0.078,0.078,0
2018,Microbiology Society,Global,0.078,0.084,-0.007
2018,Akadémiai Kiadó,Germany,0,0,0
2018,Akadémiai Kiadó,Global,0.025,0.118,-0.092
2018,Hogrefe,Germany,0.025,0.025,0
2018,Hogrefe,Global,0.021,0.021,0
2018,Society for Neuroscience,Germany,0,0.686,-0.686
2018,Society for Neuroscience,Global,0,0.693,-0.693
2018,Radiological Society of North America,Germany,0,0.083,-0.083
2018,Radiological Society of North America,Global,0,0.025,-0.025
2018,Portland Press,Germany,0.229,0.229,0
2018,Portland Press,Global,0.211,0.214,-0.003
2018,Bioscientifica,Germany,0.15,0.175,-0.025
2018,Bioscientifica,Global,0.093,0.106,-0.013
2018,The Geological Society of London,Germany,0.083,0.083,0
2018,The Geological Society of London,Global,0.093,0.103,-0.01
2018,Rockefeller University Press,Germany,0.273,1,-0.727
2018,Rockefeller University Press,Global,0.152,0.996,-0.844
2018,European Respiratory Society,Germany,0,0.062,-0.062
2018,European Respiratory Society,Global,0.005,0.075,-0.07
2018,Inter-Research Science Publisher,Germany,0,0,0
2018,Inter-Research Science Publisher,Global,0,0,0
2018,Bristol University Press,Germany,0,0,0
2018,Bristol University Press,Global,0.055,0.055,0
2018,Royal College of General Practitioners,Germany,0,0,0
2018,Royal College of General Practitioners,Global,0,0.083,-0.083
2018,Cold Spring Harbor Laboratory Press,Germany,0,0.353,-0.353
2018,Cold Spring Harbor Laboratory Press,Global,0,0.53,-0.53
2018,Edward Elgar Publishing,Germany,0,0,0
2018,Edward Elgar Publishing,Global,0,0.019,-0.019
2018,Royal Irish Academy,Global,0,0,0
2018,White Horse Press,Germany,0,0,0
2018,White Horse Press,Global,0,0,0
2018,IWA Publishing,Germany,0,0,0
2018,IWA Publishing,Global,0,0,0
2019,Elsevier,Germany,0.08,0.085,-0.006
2019,Elsevier,Global,0.037,0.043,-0.005
2019,Springer Nature,Germany,0.083,0.084,-0.001
2019,Springer Nature,Global,0.075,0.077,-0.002
2019,Wiley,Germany,0.353,0.335,0.018
2019,Wiley,Global,0.084,0.083,0.001
2019,Taylor and Francis,Germany,0.113,0.114,-0.001
2019,Taylor and Francis,Global,0.049,0.049,-0
2019,Wolters Kluwer Health,Germany,0.035,0.061,-0.026
2019,Wolters Kluwer Health,Global,0.021,0.03,-0.009
2019,Sage,Germany,0.072,0.164,-0.092
2019,Sage,Global,0.016,0.037,-0.02
2019,American Chemical Society,Germany,0.004,0.162,-0.158
2019,American Chemical Society,Global,0.001,0.062,-0.061
2019,IEEE,Germany,0.038,0.045,-0.006
2019,IEEE,Global,0.011,0.074,-0.063
2019,Oxford University Press,Germany,0.176,0.188,-0.012
2019,Oxford University Press,Global,0.089,0.117,-0.028
2019,Royal Society of Chemistry,Germany,0.291,0.291,0
2019,Royal Society of Chemistry,Global,0.082,0.082,-0
2019,Cambridge University Press,Germany,0.315,0.255,0.061
2019,Cambridge University Press,Global,0.046,0.044,0.002
2019,IOP Publishing,Germany,0.355,0.304,0.051
2019,IOP Publishing,Global,0.077,0.059,0.018
2019,The Electrochemical Society,Germany,0.355,0.302,0.053
2019,The Electrochemical Society,Global,0.084,0.064,0.021
2019,American Physical Society,Germany,0.131,0.214,-0.083
2019,American Physical Society,Global,0.149,0.314,-0.165
2019,Walter de Gruyter,Germany,0.055,0.031,0.023
2019,Walter de Gruyter,Global,0.033,0.02,0.014
2019,Emerald,Germany,0,0.024,-0.024
2019,Emerald,Global,0,0.014,-0.014
2019,AIP Publishing,Germany,0,0.08,-0.08
2019,AIP Publishing,Global,0,0.107,-0.107
2019,BMJ Publishing,Germany,0.093,0.234,-0.14
2019,BMJ Publishing,Global,0.028,0.102,-0.074
2019,Thieme,Germany,0.051,0.054,-0.003
2019,Thieme,Global,0.014,0.018,-0.004
2019,World Scientific,Germany,0,0.031,-0.031
2019,World Scientific,Global,0,0.01,-0.01
2019,Bentham Science Publishers,Germany,0.239,0,0.239
2019,Bentham Science Publishers,Global,0.192,0.003,0.189
2019,American Psychological Association,Germany,0.077,0.077,0
2019,American Psychological Association,Global,0.01,0.01,0
2019,Brill,Germany,0.049,0.034,0.015
2019,Brill,Global,0.043,0.035,0.008
2019,"Mary Ann Liebert, Inc.",Germany,0,0.135,-0.135
2019,"Mary Ann Liebert, Inc.",Global,0,0.068,-0.068
2019,Association for Computing Machinery,Germany,0.012,0.008,0.004
2019,Association for Computing Machinery,Global,0.008,0.028,-0.02
2019,IOS Press,Germany,0.078,0.064,0.015
2019,IOS Press,Global,0.062,0.05,0.011
2019,Karger,Germany,0.035,0.044,-0.009
2019,Karger,Global,0.047,0.051,-0.004
2019,EDP Sciences,Germany,0.263,0.263,0
2019,EDP Sciences,Global,0.184,0.185,-0.001
2019,Trans Tech Publications,Germany,0.132,0.132,0
2019,Trans Tech Publications,Global,0.017,0.017,0
2019,National Academy of Sciences,Germany,0.456,0.461,-0.005
2019,National Academy of Sciences,Global,0.322,0.334,-0.012
2019,Optica,Germany,0,0.019,-0.019
2019,Optica,Global,0,0.109,-0.109
2019,American Physiological Society,Germany,0,0.047,-0.047
2019,American Physiological Society,Global,0,0.043,-0.043
2019,The Royal Society,Germany,0,0.184,-0.184
2019,The Royal Society,Global,0,0.213,-0.213
2019,Canadian Science Publishing,Germany,0,0.045,-0.045
2019,Canadian Science Publishing,Global,0,0.038,-0.038
2019,American Meteorological Society,Germany,0.02,0.061,-0.04
2019,American Meteorological Society,Global,0.016,0.06,-0.043
2019,Future Science Group,Germany,0.254,0.239,0.015
2019,Future Science Group,Global,0.124,0.124,0
2019,CSIRO,Germany,0,0.069,-0.069
2019,CSIRO,Global,0,0.069,-0.069
2019,John Benjamins Publishing,Germany,0.042,0.01,0.031
2019,John Benjamins Publishing,Global,0.033,0.011,0.022
2019,Company of Biologists,Germany,0.136,0.777,-0.641
2019,Company of Biologists,Global,0.072,0.628,-0.556
2019,SPIE,Germany,0,0.421,-0.421
2019,SPIE,Global,0.003,0.136,-0.133
2019,Microbiology Society,Germany,0.031,0.031,0
2019,Microbiology Society,Global,0.07,0.077,-0.007
2019,Akadémiai Kiadó,Germany,0,0.231,-0.231
2019,Akadémiai Kiadó,Global,0.165,0.393,-0.228
2019,Hogrefe,Germany,0.075,0.075,0
2019,Hogrefe,Global,0.045,0.044,0.001
2019,Society for Neuroscience,Germany,0,0.66,-0.66
2019,Society for Neuroscience,Global,0,0.549,-0.549
2019,Radiological Society of North America,Germany,0,0,0
2019,Radiological Society of North America,Global,0,0.023,-0.023
2019,Portland Press,Germany,0.208,0.208,0
2019,Portland Press,Global,0.22,0.22,0
2019,Bioscientifica,Germany,0.029,0.059,-0.029
2019,Bioscientifica,Global,0.091,0.101,-0.009
2019,The Geological Society of London,Germany,0,0,0
2019,The Geological Society of London,Global,0.128,0.128,0
2019,Rockefeller University Press,Germany,0.225,1,-0.775
2019,Rockefeller University Press,Global,0.151,0.998,-0.847
2019,European Respiratory Society,Germany,0.125,0.156,-0.031
2019,European Respiratory Society,Global,0.066,0.105,-0.04
2019,Inter-Research Science Publisher,Germany,0,0,0
2019,Inter-Research Science Publisher,Global,0.002,0.002,0
2019,Bristol University Press,Germany,0.067,0,0.067
2019,Bristol University Press,Global,0.071,0.062,0.008
2019,Royal College of General Practitioners,Germany,0,0,0
2019,Royal College of General Practitioners,Global,0,0.093,-0.093
2019,Cold Spring Harbor Laboratory Press,Germany,0,0.6,-0.6
2019,Cold Spring Harbor Laboratory Press,Global,0,0.569,-0.569
2019,Edward Elgar Publishing,Germany,0,0,0
2019,Edward Elgar Publishing,Global,0.097,0.056,0.041
2019,Royal Irish Academy,Global,0,0,0
2019,White Horse Press,Germany,0,0,0
2019,White Horse Press,Global,0,0,0
2019,IWA Publishing,Global,0.038,0.051,-0.013
2020,Elsevier,Germany,0.108,0.111,-0.003
2020,Elsevier,Global,0.051,0.057,-0.006
2020,Springer Nature,Germany,0.495,0.497,-0.002
2020,Springer Nature,Global,0.111,0.117,-0.006
2020,Wiley,Germany,0.745,0.689,0.056
2020,Wiley,Global,0.139,0.131,0.008
2020,Taylor and Francis,Germany,0.142,0.142,-0.001
2020,Taylor and Francis,Global,0.06,0.062,-0.002
2020,Wolters Kluwer Health,Germany,0.037,0.07,-0.033
2020,Wolters Kluwer Health,Global,0.026,0.036,-0.01
2020,Sage,Germany,0.249,0.244,0.005
2020,Sage,Global,0.095,0.099,-0.004
2020,American Chemical Society,Germany,0.011,0.165,-0.154
2020,American Chemical Society,Global,0.011,0.084,-0.073
2020,IEEE,Germany,0.129,0.144,-0.015
2020,IEEE,Global,0.027,0.089,-0.062
2020,Oxford University Press,Germany,0.238,0.261,-0.022
2020,Oxford University Press,Global,0.115,0.15,-0.036
2020,Royal Society of Chemistry,Germany,0.349,0.348,0.001
2020,Royal Society of Chemistry,Global,0.103,0.102,0
2020,Cambridge University Press,Germany,0.387,0.379,0.008
2020,Cambridge University Press,Global,0.117,0.114,0.003
2020,IOP Publishing,Germany,0.378,0.374,0.004
2020,IOP Publishing,Global,0.097,0.098,-0
2020,The Electrochemical Society,Germany,0.374,0.37,0.004
2020,The Electrochemical Society,Global,0.104,0.104,0
2020,American Physical Society,Germany,0.28,0.297,-0.018
2020,American Physical Society,Global,0.175,0.221,-0.046
2020,Walter de Gruyter,Germany,0.073,0.056,0.018
2020,Walter de Gruyter,Global,0.062,0.059,0.004
2020,Emerald,Germany,0,0.057,-0.057
2020,Emerald,Global,0,0.032,-0.032
2020,AIP Publishing,Germany,0,0.192,-0.192
2020,AIP Publishing,Global,0,0.189,-0.189
2020,BMJ Publishing,Germany,0.24,0.244,-0.004
2020,BMJ Publishing,Global,0.129,0.135,-0.006
2020,Thieme,Germany,0.051,0.051,0
2020,Thieme,Global,0.014,0.017,-0.003
2020,World Scientific,Germany,0,0.046,-0.046
2020,World Scientific,Global,0,0.027,-0.027
2020,Bentham Science Publishers,Germany,0.349,0.07,0.279
2020,Bentham Science Publishers,Global,0.173,0.01,0.164
2020,American Psychological Association,Germany,0.038,0.049,-0.011
2020,American Psychological Association,Global,0.009,0.011,-0.001
2020,Brill,Germany,0.065,0.058,0.007
2020,Brill,Global,0.095,0.083,0.012
2020,"Mary Ann Liebert, Inc.",Germany,0,0.122,-0.122
2020,"Mary Ann Liebert, Inc.",Global,0,0.063,-0.063
2020,Association for Computing Machinery,Germany,0.055,0.068,-0.013
2020,Association for Computing Machinery,Global,0.018,0.039,-0.021
2020,IOS Press,Germany,0.199,0.114,0.084
2020,IOS Press,Global,0.086,0.046,0.041
2020,Karger,Germany,0.18,0.197,-0.017
2020,Karger,Global,0.089,0.101,-0.011
2020,EDP Sciences,Germany,0.432,0.436,-0.004
2020,EDP Sciences,Global,0.227,0.23,-0.003
2020,Trans Tech Publications,Germany,0.024,0.024,0
2020,Trans Tech Publications,Global,0.003,0.004,-0
2020,National Academy of Sciences,Germany,0.502,0.511,-0.008
2020,National Academy of Sciences,Global,0.36,0.374,-0.015
2020,Optica,Germany,0,0.04,-0.04
2020,Optica,Global,0.002,0.104,-0.103
2020,American Physiological Society,Germany,0,0.077,-0.077
2020,American Physiological Society,Global,0,0.041,-0.041
2020,The Royal Society,Germany,0.29,0.415,-0.126
2020,The Royal Society,Global,0.188,0.257,-0.07
2020,Canadian Science Publishing,Germany,0,0,0
2020,Canadian Science Publishing,Global,0,0.049,-0.049
2020,American Meteorological Society,Germany,0.012,0.099,-0.086
2020,American Meteorological Society,Global,0.005,0.038,-0.032
2020,Future Science Group,Germany,0.322,0.322,0
2020,Future Science Group,Global,0.123,0.129,-0.006
2020,CSIRO,Germany,0,0.154,-0.154
2020,CSIRO,Global,0,0.078,-0.078
2020,John Benjamins Publishing,Germany,0.061,0.052,0.009
2020,John Benjamins Publishing,Global,0.046,0.027,0.019
2020,Company of Biologists,Germany,0.052,0.719,-0.667
2020,Company of Biologists,Global,0.074,0.623,-0.549
2020,SPIE,Germany,0,0.5,-0.5
2020,SPIE,Global,0.007,0.127,-0.12
2020,Microbiology Society,Germany,0.188,0.104,0.083
2020,Microbiology Society,Global,0.132,0.051,0.081
2020,Akadémiai Kiadó,Germany,0.2,0.2,0
2020,Akadémiai Kiadó,Global,0.498,0.481,0.017
2020,Hogrefe,Germany,0.094,0.099,-0.006
2020,Hogrefe,Global,0.057,0.059,-0.002
2020,Society for Neuroscience,Germany,0,0.694,-0.694
2020,Society for Neuroscience,Global,0,0.644,-0.644
2020,Radiological Society of North America,Germany,0,0.029,-0.029
2020,Radiological Society of North America,Global,0,0.021,-0.021
2020,Portland Press,Germany,0.529,0.529,0
2020,Portland Press,Global,0.599,0.6,-0.001
2020,Bioscientifica,Germany,0.061,0.061,0
2020,Bioscientifica,Global,0.033,0.11,-0.077
2020,The Geological Society of London,Germany,0.143,0.143,0
2020,The Geological Society of London,Global,0.107,0.107,0
2020,Rockefeller University Press,Germany,0.194,1,-0.806
2020,Rockefeller University Press,Global,0.154,0.998,-0.845
2020,European Respiratory Society,Germany,0.341,0.366,-0.024
2020,European Respiratory Society,Global,0.338,0.348,-0.01
2020,Inter-Research Science Publisher,Germany,0,0,0
2020,Inter-Research Science Publisher,Global,0.086,0.047,0.039
2020,Bristol University Press,Germany,0.071,0,0.071
2020,Bristol University Press,Global,0.079,0.059,0.02
2020,Royal College of General Practitioners,Germany,1,1,0
2020,Royal College of General Practitioners,Global,0.167,0.192,-0.025
2020,Cold Spring Harbor Laboratory Press,Germany,0,0.375,-0.375
2020,Cold Spring Harbor Laboratory Press,Global,0,0.497,-0.497
2020,Edward Elgar Publishing,Germany,0.4,0.4,0
2020,Edward Elgar Publishing,Global,0.112,0.117,-0.004
2020,Royal Irish Academy,Global,0,0,0
2020,White Horse Press,Germany,0,0,0
2020,White Horse Press,Global,0,0.008,-0.008
2020,IWA Publishing,Global,0.246,0.246,0
2021,Elsevier,Germany,0.163,0.164,-0.001
2021,Elsevier,Global,0.079,0.082,-0.003
2021,Springer Nature,Germany,0.616,0.622,-0.006
2021,Springer Nature,Global,0.137,0.144,-0.007
2021,Wiley,Germany,0.828,0.595,0.233
2021,Wiley,Global,0.178,0.124,0.053
2021,Taylor and Francis,Germany,0.217,0.211,0.005
2021,Taylor and Francis,Global,0.114,0.114,-0.001
2021,Wolters Kluwer Health,Germany,0.079,0.109,-0.03
2021,Wolters Kluwer Health,Global,0.042,0.052,-0.011
2021,Sage,Germany,0.482,0.414,0.068
2021,Sage,Global,0.147,0.133,0.014
2021,American Chemical Society,Germany,0.222,0.165,0.056
2021,American Chemical Society,Global,0.099,0.088,0.011
2021,IEEE,Germany,0.154,0.2,-0.047
2021,IEEE,Global,0.036,0.124,-0.088
2021,Oxford University Press,Germany,0.291,0.297,-0.006
2021,Oxford University Press,Global,0.16,0.188,-0.029
2021,Royal Society of Chemistry,Germany,0.393,0.396,-0.002
2021,Royal Society of Chemistry,Global,0.116,0.118,-0.002
2021,Cambridge University Press,Germany,0.534,0.53,0.004
2021,Cambridge University Press,Global,0.186,0.179,0.008
2021,IOP Publishing,Germany,0.543,0.542,0.001
2021,IOP Publishing,Global,0.114,0.118,-0.003
2021,The Electrochemical Society,Germany,0.543,0.542,0.001
2021,The Electrochemical Society,Global,0.126,0.13,-0.004
2021,American Physical Society,Germany,0.28,0.282,-0.001
2021,American Physical Society,Global,0.183,0.192,-0.01
2021,Walter de Gruyter,Germany,0.077,0.078,-0.001
2021,Walter de Gruyter,Global,0.063,0.069,-0.006
2021,Emerald,Germany,0,0.077,-0.077
2021,Emerald,Global,0,0.054,-0.054
2021,AIP Publishing,Germany,0,0.304,-0.304
2021,AIP Publishing,Global,0,0.168,-0.168
2021,BMJ Publishing,Germany,0.43,0.425,0.005
2021,BMJ Publishing,Global,0.143,0.148,-0.005
2021,Thieme,Germany,0.06,0.061,-0.001
2021,Thieme,Global,0.023,0.024,-0.001
2021,World Scientific,Germany,0,0.062,-0.062
2021,World Scientific,Global,0,0.039,-0.039
2021,Bentham Science Publishers,Germany,0.283,0.022,0.261
2021,Bentham Science Publishers,Global,0.11,0.012,0.097
2021,American Psychological Association,Germany,0.225,0.231,-0.006
2021,American Psychological Association,Global,0.013,0.028,-0.015
2021,Brill,Germany,0.103,0.072,0.031
2021,Brill,Global,0.112,0.085,0.027
2021,"Mary Ann Liebert, Inc.",Germany,0,0.116,-0.116
2021,"Mary Ann Liebert, Inc.",Global,0,0.077,-0.077
2021,Association for Computing Machinery,Germany,0.069,0.069,0
2021,Association for Computing Machinery,Global,0.022,0.052,-0.03
2021,IOS Press,Germany,0.179,0.162,0.017
2021,IOS Press,Global,0.085,0.068,0.017
2021,Karger,Germany,0.279,0.304,-0.025
2021,Karger,Global,0.143,0.153,-0.01
2021,EDP Sciences,Germany,0.524,0.524,0
2021,EDP Sciences,Global,0.281,0.285,-0.004
2021,Trans Tech Publications,Germany,0.031,0.031,0
2021,Trans Tech Publications,Global,0.002,0.003,-0.001
2021,National Academy of Sciences,Germany,0.559,0.571,-0.012
2021,National Academy of Sciences,Global,0.386,0.401,-0.015
2021,Optica,Germany,0,0.046,-0.046
2021,Optica,Global,0.001,0.085,-0.084
2021,American Physiological Society,Germany,0,0.103,-0.103
2021,American Physiological Society,Global,0,0.069,-0.069
2021,The Royal Society,Germany,0.024,0.482,-0.459
2021,The Royal Society,Global,0.027,0.414,-0.386
2021,Canadian Science Publishing,Germany,0,0.176,-0.176
2021,Canadian Science Publishing,Global,0,0.125,-0.125
