cr_year,esac_publisher,article_total,tdm_total,orcid_total,funder_total,abstract_total,ref_total,cat
2017,IEEE,11,0,7,8,0,11,Germany
2020,IEEE,141,0,131,107,0,138,Germany
2021,IEEE,207,0,190,149,0,197,Germany
2022,IEEE,123,0,108,90,0,105,Germany
2018,IEEE,12,0,11,10,0,12,Germany
2017,Sage,1,1,0,0,0,1,Germany
2021,Elsevier,2310,2310,1136,1571,0,2308,Germany
2019,Elsevier,1166,1166,485,860,0,1161,Germany
2017,Elsevier,821,821,167,483,0,818,Germany
2018,Elsevier,986,986,330,686,0,984,Germany
2022,Elsevier,1847,1847,924,838,0,1838,Germany
2019,IOS Press,16,0,0,0,0,16,Germany
2017,IOS Press,21,0,0,0,0,21,Germany
2018,IOS Press,18,0,0,0,0,18,Germany
2017,EDP Sciences,20,20,3,0,0,20,Germany
2019,AIP Publishing,1,0,0,1,0,1,Germany
2018,AIP Publishing,1,0,0,1,0,1,Germany
2017,AIP Publishing,3,0,3,2,0,3,Germany
2018,IOP Publishing,222,159,198,151,0,221,Germany
2018,Taylor & Francis,176,140,72,99,0,164,Germany
2017,Taylor & Francis,184,178,59,91,0,176,Germany
2018,Wolters Kluwer Health,6,1,0,0,0,6,Germany
2017,Wolters Kluwer Health,5,2,0,0,0,5,Germany
2019,Wolters Kluwer Health,3,0,0,0,0,3,Germany
2017,American Chemical Society,3,2,2,2,0,3,Germany
2022,American Chemical Society,283,4,283,254,0,283,Germany
2021,American Chemical Society,575,10,575,519,0,575,Germany
2018,American Chemical Society,5,4,1,5,0,5,Germany
2019,American Chemical Society,6,3,5,5,0,6,Germany
2020,American Chemical Society,28,4,28,25,0,28,Germany
2017,American Physical Society,47,0,0,45,0,47,Germany
2019,American Physical Society,211,0,76,189,0,211,Germany
2018,American Physical Society,216,0,0,198,0,215,Germany
2021,American Physical Society,470,0,450,426,0,470,Germany
2020,American Physical Society,479,0,438,414,0,479,Germany
2022,American Physical Society,163,0,158,151,0,163,Germany
2017,Bentham Science Publishers,1,0,0,0,0,0,Germany
2018,The Electrochemical Society,63,0,62,47,0,63,Germany
2017,The Geological Society of London,3,0,2,1,0,3,Germany
2019,Association for Computing Machinery,4,1,3,3,0,4,Germany
2018,Sage,2,2,0,1,1,2,Germany
2017,Brill,1,1,0,0,1,0,Germany
2018,Emerald,1,1,0,0,1,0,Germany
2020,Elsevier,1499,1499,493,1149,1,1496,Germany
2019,Bioscientifica,1,1,0,0,1,0,Germany
2020,Trans Tech Publications,1,0,0,0,1,1,Germany
2019,Bristol University Press,1,1,0,0,1,1,Germany
2018,Bentham Science Publishers,2,1,0,0,1,1,Germany
2022,European Respiratory Society,6,0,5,4,1,6,Germany
2021,The Geological Society of London,1,0,1,0,1,1,Germany
2019,The Geological Society of London,1,0,1,0,1,1,Germany
2020,The Geological Society of London,1,0,1,0,1,1,Germany
