issn_l,cr_year,cc,cc_total,jn_all,prop
1520-9512,2020,CC BY,40,257,0.1556420233463035
0963-0252,2019,CC BY,21,257,0.08171206225680934
0304-3800,2018,CC BY-NC-ND,11,257,0.042801556420233464
0171-5216,2018,CC BY,44,257,0.17120622568093385
0301-9322,2021,CC BY,23,257,0.08949416342412451
1002-0721,2021,CC BY-NC-ND,3,257,0.011673151750972763
0145-6008,2017,CC BY-NC,3,257,0.011673151750972763
1460-6925,2019,CC BY,6,257,0.023346303501945526
1612-1872,2022,CC BY,6,257,0.023346303501945526
0009-2797,2022,CC BY-NC-ND,6,257,0.023346303501945526
1532-0464,2020,CC BY-NC-ND,6,257,0.023346303501945526
2152-2669,2021,CC BY,12,257,0.04669260700389105
2352-4855,2022,CC BY-NC-ND,12,257,0.04669260700389105
2152-2669,2021,CC BY-NC-ND,25,257,0.09727626459143969
1755-098X,2021,CC BY-NC,26,257,0.10116731517509728
0009-2797,2022,CC BY,7,257,0.027237354085603113
0895-4356,2018,CC BY-NC-ND,14,257,0.054474708171206226
1460-6925,2019,CC BY-NC-ND,14,257,0.054474708171206226
1360-7863,2021,CC BY-NC-ND,28,257,0.10894941634241245
0306-4573,2021,CC BY,15,257,0.058365758754863814
1074-7613,2021,CC BY-NC-ND,15,257,0.058365758754863814
0145-6008,2017,CC BY,1,257,0.0038910505836575876
0379-6779,2021,CC BY,1,257,0.0038910505836575876
2193-4126,2017,CC BY,1,257,0.0038910505836575876
0003-598X,2017,CC BY-NC-ND,1,257,0.0038910505836575876
1059-910X,2020,CC BY-NC-ND,1,257,0.0038910505836575876
1367-0484,2019,CC BY,1,257,0.0038910505836575876
0255-2701,2019,CC BY,1,257,0.0038910505836575876
0003-598X,2017,CC BY-NC-SA,1,257,0.0038910505836575876
0145-6008,2017,CC BY-NC-ND,2,257,0.007782101167315175
0022-1236,2017,CC BY-NC-ND,2,257,0.007782101167315175
0144-3615,2017,CC BY-NC-ND,2,257,0.007782101167315175
0255-2701,2019,CC BY-NC-ND,2,257,0.007782101167315175
2192-6506,2019,CC BY-NC-ND,2,257,0.007782101167315175
1083-3188,2018,CC BY-NC-ND,2,257,0.007782101167315175
1367-0484,2019,CC BY-NC-ND,4,257,0.01556420233463035
1477-5131,2022,CC BY-NC-ND,4,257,0.01556420233463035
2192-6506,2019,CC BY-NC,4,257,0.01556420233463035
0304-3800,2018,CC BY,4,257,0.01556420233463035
0273-2289,2018,CC BY,4,257,0.01556420233463035
0267-9477,2018,CC BY-NC,4,257,0.01556420233463035
1525-2027,2017,CC BY,8,257,0.0311284046692607
1525-2027,2017,CC BY-NC-ND,16,257,0.0622568093385214
1079-8587,2022,NA,0,513,0
0093-691X,2017,CC BY,1,513,0.001949317738791423
2196-0216,2017,CC BY,2,513,0.003898635477582846
1270-9638,2018,CC BY,4,513,0.007797270955165692
2196-0216,2017,CC BY-NC,3,513,0.005847953216374269
0093-691X,2017,CC BY-NC-ND,3,513,0.005847953216374269
1270-9638,2018,CC BY-NC-ND,3,513,0.005847953216374269
2196-0216,2017,CC BY-NC-ND,3,513,0.005847953216374269
0927-7765,2022,CC BY-NC-ND,22,513,0.042884990253411304
0167-2681,2021,CC BY,43,513,0.08382066276803118
0927-7765,2022,CC BY,18,513,0.03508771929824561
0167-2681,2021,CC BY-NC-ND,35,513,0.0682261208576998
0003-2670,2022,CC BY,38,769,0.0494148244473342
0010-4825,2022,CC BY,54,769,0.07022106631989597
2169-897X,2017,CC BY-NC-ND,63,769,0.08192457737321196
1353-8020,2020,CC BY,9,769,0.011703511053315995
1353-8020,2020,CC BY-NC-ND,18,769,0.02340702210663199
0010-4825,2022,CC BY-NC-ND,55,769,0.07152145643693109
0168-583X,2017,CC BY-NC-ND,1,769,0.0013003901170351106
0168-583X,2017,CC BY,4,769,0.005201560468140442
2169-897X,2017,CC BY,22,769,0.02860858257477243
0003-2670,2022,CC BY-NC-ND,40,769,0.05201560468140442
1046-1310,2021,CC BY,233,1281,0.18188914910226386
0957-4484,2018,CC BY,38,1281,0.02966432474629196
1551-3203,2022,CC BY,31,1281,0.02419984387197502
1551-3203,2022,CC BY-NC-ND,7,1281,0.00546448087431694
0022-2860,2020,CC BY-NC-ND,10,1793,0.005577244841048522
0022-2860,2020,CC BY,3,1793,0.0016731734523145567
1555-2764,2022,NA,0,2,0
2666-1845,2022,NA,0,2,0
2524-5279,2018,NA,0,2,0
2690-7240,2019,NA,0,2,0
1932-9148,2022,NA,0,2,0
2691-5979,2022,NA,0,2,0
2634-9817,2021,NA,0,2,0
0790-1763,2022,NA,0,2,0
1546-5616,2017,NA,0,2,0
2405-4631,2022,NA,0,2,0
0972-656X,2020,NA,0,2,0
1441-3582,2020,NA,0,2,0
1948-1837,2019,NA,0,2,0
1539-8323,2018,NA,0,2,0
2051-2856,2022,NA,0,2,0
1529-1006,2022,NA,0,2,0
1502-1149,2022,NA,0,2,0
2213-140X,2022,NA,0,2,0
1749-4060,2019,NA,0,2,0
2211-6923,2022,NA,0,2,0
1089-7089,2019,NA,0,2,0
1477-2019,2022,NA,0,2,0
2516-4392,2021,NA,0,2,0
1532-5008,2022,NA,0,2,0
2196-7865,2022,NA,0,2,0
2364-5059,2018,NA,0,2,0
2520-811X,2017,NA,0,2,0
1361-4576,2022,NA,0,2,0
1593-7879,2017,NA,0,2,0
2374-2917,2021,NA,0,2,0
2665-9042,2022,NA,0,2,0
1092-6755,2022,NA,0,2,0
1551-319X,2017,NA,0,2,0
1937-156X,2017,NA,0,2,0
1470-8396,2022,NA,0,2,0
2578-5265,2018,NA,0,2,0
2694-3980,2022,NA,0,2,0
2524-7905,2022,NA,0,2,0
2364-5059,2017,NA,0,2,0
1475-5610,2022,NA,0,2,0
2211-5560,2022,NA,0,2,0
2692-4080,2022,NA,0,2,0
1752-8631,2022,NA,0,2,0
1895-9091,2022,NA,0,2,0
2542-7458,2021,NA,0,2,0
2164-6287,2017,NA,0,2,0
1563-0854,2017,NA,0,2,0
0734-2071,2022,NA,0,2,0
2522-896X,2018,NA,0,2,0
1660-2854,2022,NA,0,2,0
1067-828X,2021,NA,0,2,0
2523-3653,2018,NA,0,2,0
2046-3162,2022,NA,0,2,0
2394-9015,2022,NA,0,2,0
0175-6206,2018,NA,0,2,0
0093-8157,2022,NA,0,2,0
0961-7353,2019,NA,0,2,0
2363-507X,2017,NA,0,2,0
0967-3911,2021,NA,0,2,0
2151-3481,2022,NA,0,2,0
1574-1818,2022,NA,0,2,0
2666-5719,2020,NA,0,2,0
2048-8432,2019,NA,0,2,0
2072-1978,2021,NA,0,2,0
2166-1685,2018,NA,0,2,0
1029-1954,2017,NA,0,2,0
2772-574X,2022,NA,0,2,0
0952-6862,2022,NA,0,2,0
0071-0490,2017,NA,0,2,0
1040-9238,2022,NA,0,2,0
2352-3093,2018,NA,0,2,0
2405-4631,2020,NA,0,2,0
2662-1975,2022,NA,0,2,0
2589-5923,2022,NA,0,2,0
1932-0191,2018,NA,0,2,0
1066-5307,2022,NA,0,2,0
2731-4642,2021,NA,0,2,0
1728-0583,2022,NA,0,2,0
0047-2379,2019,NA,0,2,0
1121-2306,2022,NA,0,2,0
2568-9347,2018,NA,0,2,0
1871-7993,2021,NA,0,2,0
1932-9156,2018,NA,0,2,0
2199-6784,2022,NA,0,2,0
0002-2667,2019,NA,0,2,0
2153-1552,2017,NA,0,2,0
0263-6751,2022,NA,0,2,0
2514-9792,2017,NA,0,2,0
2542-7458,2019,NA,0,2,0
1368-2199,2021,NA,0,2,0
1932-0191,2022,NA,0,2,0
2639-5355,2022,NA,0,2,0
2198-6428,2022,NA,0,2,0
2666-4275,2022,NA,0,2,0
0264-8725,2019,CC BY,1,2,0.5
2731-0590,2021,CC BY,1,2,0.5
2520-8217,2017,CC BY,1,2,0.5
0009-8558,2022,CC BY,1,2,0.5
2730-5732,2022,CC BY,1,2,0.5
2568-9347,2020,CC BY-NC-ND,1,2,0.5
1475-3685,2022,CC BY,1,2,0.5
2702-4288,2021,CC BY,1,2,0.5
2193-9438,2021,CC BY,1,2,0.5
0020-7276,2022,CC BY,1,2,0.5
1465-5187,2021,CC BY-NC-ND,1,2,0.5
0940-7391,2022,CC BY-NC-ND,1,2,0.5
2365-4325,2022,CC BY,1,2,0.5
0391-5026,2022,CC BY-NC-ND,1,2,0.5
2690-4586,2019,CC BY-NC-ND,1,2,0.5
2193-9438,2021,CC BY-NC-ND,1,2,0.5
1868-5153,2020,CC BY,2,2,1
2374-3603,2021,CC BY-NC-ND,2,2,1
1949-8284,2022,CC BY,2,2,1
2522-5987,2022,CC BY,2,2,1
2214-3947,2022,CC BY,2,2,1
2365-1695,2022,CC BY,2,2,1
2573-8461,2022,CC BY,2,2,1
0985-0562,2017,NA,0,258,0
1040-0605,2020,NA,0,258,0
0021-3640,2020,NA,0,258,0
1070-4280,2021,NA,0,258,0
1079-8587,2021,NA,0,258,0
0253-2964,2019,NA,0,258,0
1935-1089,2021,NA,0,258,0
0896-6273,2022,CC BY,29,258,0.1124031007751938
0896-6273,2022,CC BY-NC-ND,25,258,0.09689922480620156
0105-1873,2021,CC BY-NC-ND,21,258,0.08139534883720931
1936-9751,2021,CC BY,21,258,0.08139534883720931
1098-3600,2018,CC BY-NC-ND,21,258,0.08139534883720931
1873-9946,2020,CC BY-NC,42,258,0.16279069767441862
1574-9541,2021,CC BY,17,258,0.06589147286821706
0944-2669,2021,CC BY,70,258,0.2713178294573643
0105-1873,2021,CC BY,15,258,0.05813953488372093
1041-0236,2021,CC BY-NC-ND,15,258,0.05813953488372093
1464-4177,2021,CC BY,30,258,0.11627906976744186
1464-4177,2021,CC BY-NC-ND,13,258,0.050387596899224806
0045-7930,2020,CC BY,11,258,0.04263565891472868
0144-8420,2020,CC BY,9,258,0.03488372093023256
1098-3600,2018,CC BY-NC-SA,9,258,0.03488372093023256
1574-9541,2021,CC BY-NC-ND,9,258,0.03488372093023256
1351-5101,2019,CC BY-NC-ND,9,258,0.03488372093023256
0109-5641,2022,CC BY-NC-ND,9,258,0.03488372093023256
0921-8009,2022,CC BY-NC-ND,18,258,0.06976744186046512
0929-1873,2019,CC BY,31,258,0.12015503875968993
1671-4083,2021,CC BY,23,258,0.08914728682170543
0898-6568,2021,CC BY-NC-ND,23,258,0.08914728682170543
1022-1336,2019,CC BY,19,258,0.07364341085271318
1045-3873,2017,CC BY-NC-ND,1,258,0.003875968992248062
0145-6008,2018,CC BY,1,258,0.003875968992248062
1527-6465,2019,CC BY,1,258,0.003875968992248062
1382-6689,2017,CC BY-NC-ND,1,258,0.003875968992248062
0925-9635,2017,CC BY-NC-ND,1,258,0.003875968992248062
1382-6689,2017,CC BY,1,258,0.003875968992248062
1328-8067,2017,CC BY,1,258,0.003875968992248062
0003-2719,2020,CC BY-NC-ND,1,258,0.003875968992248062
1877-1297,2021,CC BY,1,258,0.003875968992248062
1875-5100,2019,CC BY,1,258,0.003875968992248062
1045-3873,2017,CC BY-NC,2,258,0.007751937984496124
0925-9635,2017,CC BY,2,258,0.007751937984496124
1045-3873,2017,CC BY,2,258,0.007751937984496124
0045-7930,2020,CC BY-NC-ND,2,258,0.007751937984496124
0144-8420,2020,CC BY-NC,2,258,0.007751937984496124
0019-5456,2018,CC BY,2,258,0.007751937984496124
1328-8067,2017,CC BY-NC,4,258,0.015503875968992248
0972-2815,2018,CC BY,4,258,0.015503875968992248
0378-4274,2017,CC BY,4,258,0.015503875968992248
1361-9209,2017,CC BY-NC-ND,4,258,0.015503875968992248
1041-0236,2021,CC BY,4,258,0.015503875968992248
1041-0236,2020,CC BY,4,258,0.015503875968992248
0145-6008,2018,CC BY-NC-ND,4,258,0.015503875968992248
1527-6465,2019,CC BY-NC-ND,4,258,0.015503875968992248
1361-9209,2017,CC BY,8,258,0.031007751937984496
0960-1317,2017,CC BY,8,258,0.031007751937984496
1022-1336,2019,CC BY-NC,8,258,0.031007751937984496
1098-3600,2018,CC BY,16,258,0.06201550387596899
1351-5101,2019,CC BY,7,258,0.027131782945736434
0105-1873,2021,CC BY-NC,7,258,0.027131782945736434
0921-8009,2022,CC BY,56,258,0.21705426356589147
0022-314X,2018,CC BY,3,258,0.011627906976744186
1875-5100,2019,CC BY-NC-ND,3,258,0.011627906976744186
1877-1297,2021,CC BY-NC-ND,3,258,0.011627906976744186
0145-6008,2018,CC BY-NC,6,258,0.023255813953488372
0361-0926,2022,CC BY-NC-ND,6,258,0.023255813953488372
1527-6465,2019,CC BY-NC,6,258,0.023255813953488372
1464-4177,2021,CC BY-NC,6,258,0.023255813953488372
1022-1336,2019,CC BY-NC-ND,6,258,0.023255813953488372
0300-483X,2021,CC BY,12,258,0.046511627906976744
0300-483X,2021,CC BY-NC-ND,12,258,0.046511627906976744
1351-5101,2019,CC BY-NC,12,258,0.046511627906976744
1041-0236,2020,CC BY-NC-ND,12,258,0.046511627906976744
0378-4274,2017,CC BY-NC-ND,12,258,0.046511627906976744
1544-046X,2022,CC BY-NC-ND,5,258,0.01937984496124031
1229-8557,2019,CC BY,5,258,0.01937984496124031
0898-6568,2021,CC BY,5,258,0.01937984496124031
1873-9946,2020,CC BY,5,258,0.01937984496124031
0007-4861,2018,CC BY,10,258,0.03875968992248062
0109-5641,2022,CC BY,20,258,0.07751937984496124
0026-3672,2022,CC BY,20,258,0.07751937984496124
0277-2116,2020,NA,0,514,0
0045-2068,2022,CC BY-NC-ND,9,514,0.017509727626459144
0032-0889,2019,CC BY,18,514,0.03501945525291829
2405-8289,2022,CC BY-NC-ND,11,514,0.021400778210116732
0041-1132,2020,CC BY-NC-ND,23,514,0.04474708171206226
0962-1067,2018,CC BY,3,514,0.005836575875486381
1386-9477,2020,CC BY,6,514,0.011673151750972763
0045-2068,2022,CC BY,6,514,0.011673151750972763
0962-1067,2018,CC BY-NC,12,514,0.023346303501945526
0278-6915,2017,CC BY-NC-ND,26,514,0.05058365758754864
1876-990X,2022,CC BY,7,514,0.013618677042801557
0962-1067,2018,CC BY-NC-ND,7,514,0.013618677042801557
0278-6915,2017,CC BY,14,514,0.027237354085603113
1386-9477,2020,CC BY-NC-ND,1,514,0.0019455252918287938
0041-1132,2020,CC BY,2,514,0.0038910505836575876
0307-904X,2019,CC BY,4,514,0.007782101167315175
2405-8289,2022,CC BY,16,514,0.0311284046692607
0041-1132,2020,CC BY-NC,33,514,0.06420233463035019
0167-6369,2019,CC BY,45,770,0.05844155844155844
1099-5129,2018,CC BY,7,1026,0.00682261208576998
1099-5129,2018,CC BY-NC,13,1026,0.012670565302144249
0376-7388,2021,CC BY,37,1026,0.036062378167641324
0376-7388,2021,CC BY-NC-ND,17,1026,0.016569200779727095
1866-7511,2020,CC BY,19,1282,0.014820592823712949
0006-3495,2019,CC BY-NC-ND,35,3330,0.010510510510510511
0006-3495,2019,CC BY,40,3330,0.012012012012012012
1600-1974,2019,NA,0,3,0
1061-1924,2017,NA,0,3,0
1556-3499,2022,NA,0,3,0
1385-9587,2021,NA,0,3,0
0922-2936,2022,NA,0,3,0
2520-8438,2017,NA,0,3,0
0392-1921,2017,NA,0,3,0
1061-7264,2020,NA,0,3,0
2153-1552,2021,NA,0,3,0
0002-2667,2018,NA,0,3,0
2367-2544,2021,NA,0,3,0
2666-2558,2018,NA,0,3,0
0896-5811,2022,NA,0,3,0
1833-8550,2019,NA,0,3,0
1740-6315,2022,NA,0,3,0
0315-5986,2018,NA,0,3,0
2469-7818,2022,NA,0,3,0
1754-5730,2022,NA,0,3,0
2520-8160,2017,NA,0,3,0
1864-7022,2019,NA,0,3,0
